Tele EF EB theta(degree) thetaE(degree)   phi(degree) phiE(degree)
   0  6 27       28.4170         0.4901       164.748        1.899
   0  6 28       28.5001         0.4816       164.041        1.903
   0  6 29       28.5869         0.4731       163.339        1.907
   0  6 30       28.6771         0.4646       162.641        1.910
   0  6 31       28.7708         0.4561       161.948        1.913
   0  7  0       27.9800         0.6781       184.694        1.516
   0  7  1       27.9575         0.6731       183.959        1.536
   0  7  2       27.9389         0.6678       183.221        1.556
   0  7  3       27.9243         0.6624       182.483        1.576
   0  7  4       27.9135         0.6569       181.743        1.595
   0  7  5       27.9067         0.6511       181.001        1.614
   0  7  6       27.9039         0.6452       180.259        1.632
   0  7  7       27.9051         0.6392       179.517        1.650
   0  7  8       27.9102         0.6329       178.774        1.667
   0  7  9       27.9194         0.6265       178.031        1.684
   0  7 10       27.9325         0.6200       177.288        1.700
   0  7 11       27.9496         0.6133       176.545        1.715
   0  7 12       27.9707         0.6064       175.803        1.730
   0  7 13       27.9958         0.5995       175.062        1.744
   0  7 14       28.0249         0.5924       174.323        1.758
   0  7 15       28.0579         0.5851       173.584        1.771
   0  7 16       28.0949         0.5778       172.847        1.784
   0  7 17       28.1358         0.5703       172.112        1.795
   0  7 18       28.1806         0.5627       171.380        1.806
   0  7 19       28.2293         0.5550       170.649        1.817
   0  7 20       28.2818         0.5472       169.921        1.827
   0  7 21       28.3382         0.5393       169.196        1.836
   0  7 22       28.3984         0.5314       168.474        1.844
   0  7 23       28.4623         0.5233       167.755        1.852
   0  7 24       28.5300         0.5152       167.039        1.859
   0  7 25       28.6014         0.5070       166.327        1.866
   0  7 26       28.6764         0.4988       165.619        1.872
   0  7 27       28.7550         0.4905       164.914        1.877
   0  7 28       28.8372         0.4821       164.214        1.881
   0  7 29       28.9229         0.4737       163.518        1.885
   0  7 30       29.0121         0.4653       162.827        1.888
   0  7 31       29.1047         0.4569       162.140        1.891
   0  8  0       28.3259         0.6757       184.647        1.500
   0  8  1       28.3038         0.6707       183.919        1.520
   0  8  2       28.2856         0.6656       183.190        1.540
   0  8  3       28.2712         0.6603       182.459        1.559
   0  8  4       28.2608         0.6548       181.727        1.578
   0  8  5       28.2542         0.6491       180.994        1.596
   0  8  6       28.2515         0.6433       180.260        1.614
   0  8  7       28.2528         0.6373       179.526        1.631
   0  8  8       28.2580         0.6312       178.791        1.648
   0  8  9       28.2671         0.6249       178.056        1.665
   0  8 10       28.2802         0.6184       177.321        1.680
   0  8 11       28.2972         0.6118       176.587        1.696
   0  8 12       28.3181         0.6051       175.853        1.710
   0  8 13       28.3430         0.5982       175.120        1.724
   0  8 14       28.3717         0.5912       174.388        1.738
   0  8 15       28.4044         0.5840       173.658        1.751
   0  8 16       28.4410         0.5768       172.929        1.763
   0  8 17       28.4815         0.5694       172.202        1.774
   0  8 18       28.5258         0.5619       171.477        1.785
   0  8 19       28.5739         0.5544       170.754        1.796
   0  8 20       28.6259         0.5467       170.034        1.805
   0  8 21       28.6816         0.5389       169.316        1.814
   0  8 22       28.7411         0.5311       168.601        1.823
   0  8 23       28.8042         0.5231       167.889        1.831
   0  8 24       28.8711         0.5151       167.181        1.838
   0  8 25       28.9417         0.5071       166.476        1.844
   0  8 26       29.0158         0.4989       165.775        1.850
   0  8 27       29.0935         0.4907       165.077        1.855
   0  8 28       29.1747         0.4825       164.384        1.860
   0  8 29       29.2594         0.4742       163.694        1.864
   0  8 30       29.3475         0.4659       163.010        1.867
   0  8 31       29.4390         0.4576       162.329        1.870
   0  9  0       28.6720         0.6733       184.600        1.485
   0  9  1       28.6503         0.6684       183.881        1.505
   0  9  2       28.6325         0.6633       183.159        1.524
   0  9  3       28.6184         0.6581       182.436        1.543
   0  9  4       28.6082         0.6526       181.712        1.561
   0  9  5       28.6019         0.6471       180.987        1.579
   0  9  6       28.5993         0.6413       180.261        1.597
   0  9  7       28.6007         0.6354       179.535        1.614
   0  9  8       28.6059         0.6294       178.808        1.630
   0  9  9       28.6151         0.6231       178.081        1.646
   0  9 10       28.6281         0.6168       177.354        1.662
   0  9 11       28.6449         0.6103       176.628        1.677
   0  9 12       28.6657         0.6036       175.902        1.691
   0  9 13       28.6903         0.5969       175.177        1.705
   0  9 14       28.7188         0.5900       174.453        1.718
   0  9 15       28.7512         0.5829       173.730        1.730
   0  9 16       28.7874         0.5758       173.009        1.742
   0  9 17       28.8274         0.5685       172.290        1.754
   0  9 18       28.8712         0.5611       171.572        1.765
   0  9 19       28.9188         0.5537       170.857        1.775
   0  9 20       28.9702         0.5461       170.144        1.784
   0  9 21       29.0253         0.5384       169.433        1.793
   0  9 22       29.0841         0.5307       168.726        1.802
   0  9 23       29.1465         0.5229       168.021        1.809
   0  9 24       29.2126         0.5150       167.320        1.816
   0  9 25       29.2823         0.5070       166.622        1.823
   0  9 26       29.3556         0.4990       165.927        1.829
   0  9 27       29.4324         0.4909       165.237        1.834
   0  9 28       29.5126         0.4828       164.550        1.839
   0  9 29       29.5963         0.4746       163.867        1.843
   0  9 30       29.6834         0.4664       163.188        1.846
   0  9 31       29.7739         0.4582       162.514        1.849
   0 10  0       29.0183         0.6708       184.555        1.471
   0 10  1       28.9970         0.6660       183.843        1.490
   0 10  2       28.9796         0.6610       183.129        1.509
   0 10  3       28.9658         0.6558       182.414        1.527
   0 10  4       28.9559         0.6505       181.698        1.545
   0 10  5       28.9497         0.6450       180.980        1.563
   0 10  6       28.9474         0.6393       180.262        1.580
   0 10  7       28.9488         0.6335       179.544        1.596
   0 10  8       28.9541         0.6275       178.825        1.612
   0 10  9       28.9632         0.6214       178.105        1.628
   0 10 10       28.9762         0.6151       177.386        1.643
   0 10 11       28.9929         0.6087       176.668        1.658
   0 10 12       29.0135         0.6021       175.950        1.672
   0 10 13       29.0379         0.5955       175.232        1.685
   0 10 14       29.0662         0.5887       174.516        1.698
   0 10 15       29.0982         0.5817       173.801        1.711
   0 10 16       29.1340         0.5747       173.087        1.723
   0 10 17       29.1736         0.5675       172.375        1.734
   0 10 18       29.2169         0.5603       171.665        1.745
   0 10 19       29.2640         0.5529       170.957        1.755
   0 10 20       29.3148         0.5454       170.252        1.764
   0 10 21       29.3693         0.5379       169.548        1.773
   0 10 22       29.4274         0.5303       168.848        1.781
   0 10 23       29.4891         0.5225       168.150        1.789
   0 10 24       29.5545         0.5148       167.456        1.796
   0 10 25       29.6233         0.5069       166.765        1.802
   0 10 26       29.6958         0.4990       166.077        1.808
   0 10 27       29.7716         0.4910       165.393        1.813
   0 10 28       29.8510         0.4830       164.712        1.818
   0 10 29       29.9337         0.4750       164.036        1.822
   0 10 30       30.0198         0.4669       163.364        1.825
   0 10 31       30.1092         0.4587       162.695        1.828
   0 11  0       29.3648         0.6683       184.510        1.457
   0 11  1       29.3440         0.6635       183.806        1.475
   0 11  2       29.3268         0.6586       183.100        1.494
   0 11  3       29.3134         0.6535       182.392        1.512
   0 11  4       29.3037         0.6482       181.683        1.529
   0 11  5       29.2978         0.6428       180.974        1.546
   0 11  6       29.2956         0.6372       180.263        1.563
   0 11  7       29.2971         0.6315       179.552        1.579
   0 11  8       29.3024         0.6256       178.841        1.595
   0 11  9       29.3116         0.6196       178.129        1.610
   0 11 10       29.3244         0.6134       177.418        1.625
   0 11 11       29.3411         0.6071       176.707        1.640
   0 11 12       29.3615         0.6006       175.996        1.653
   0 11 13       29.3857         0.5940       175.286        1.667
   0 11 14       29.4137         0.5873       174.578        1.679
   0 11 15       29.4454         0.5805       173.870        1.692
   0 11 16       29.4809         0.5735       173.164        1.703
   0 11 17       29.5200         0.5665       172.459        1.714
   0 11 18       29.5629         0.5593       171.757        1.725
   0 11 19       29.6095         0.5521       171.056        1.735
   0 11 20       29.6597         0.5447       170.357        1.744
   0 11 21       29.7135         0.5373       169.661        1.753
   0 11 22       29.7710         0.5297       168.968        1.761
   0 11 23       29.8320         0.5221       168.277        1.769
   0 11 24       29.8966         0.5145       167.589        1.775
   0 11 25       29.9647         0.5067       166.905        1.782
   0 11 26       30.0363         0.4989       166.224        1.788
   0 11 27       30.1113         0.4910       165.546        1.793
   0 11 28       30.1897         0.4831       164.872        1.798
   0 11 29       30.2714         0.4752       164.202        1.802
   0 11 30       30.3565         0.4672       163.535        1.805
   0 11 31       30.4449         0.4592       162.873        1.808
   0 12  0       29.7114         0.6658       184.467        1.443
   0 12  1       29.6910         0.6611       183.770        1.461
   0 12  2       29.6743         0.6562       183.071        1.479
   0 12  3       29.6611         0.6512       182.371        1.496
   0 12  4       29.6517         0.6460       181.669        1.514
   0 12  5       29.6459         0.6406       180.967        1.530
   0 12  6       29.6439         0.6351       180.264        1.547
   0 12  7       29.6456         0.6294       179.560        1.563
   0 12  8       29.6509         0.6236       178.857        1.578
   0 12  9       29.6600         0.6177       178.153        1.593
   0 12 10       29.6729         0.6116       177.449        1.608
   0 12 11       29.6894         0.6054       176.745        1.622
   0 12 12       29.7097         0.5990       176.042        1.635
   0 12 13       29.7337         0.5925       175.340        1.648
   0 12 14       29.7614         0.5859       174.638        1.661
   0 12 15       29.7928         0.5792       173.938        1.673
   0 12 16       29.8279         0.5723       173.239        1.684
   0 12 17       29.8667         0.5654       172.542        1.695
   0 12 18       29.9091         0.5583       171.846        1.705
   0 12 19       29.9551         0.5511       171.152        1.715
   0 12 20       30.0048         0.5439       170.461        1.724
   0 12 21       30.0580         0.5366       169.772        1.733
   0 12 22       30.1148         0.5291       169.085        1.741
   0 12 23       30.1752         0.5216       168.401        1.749
   0 12 24       30.2390         0.5141       167.720        1.756
   0 12 25       30.3063         0.5064       167.042        1.762
   0 12 26       30.3771         0.4987       166.367        1.768
   0 12 27       30.4512         0.4910       165.696        1.773
   0 12 28       30.5287         0.4832       165.028        1.778
   0 12 29       30.6095         0.4753       164.364        1.782
   0 12 30       30.6936         0.4675       163.704        1.786
   0 12 31       30.7809         0.4595       163.048        1.789
   0 13  0       30.0582         0.6632       184.424        1.429
   0 13  1       30.0382         0.6585       183.734        1.447
   0 13  2       30.0218         0.6537       183.043        1.464
   0 13  3       30.0090         0.6488       182.350        1.481
   0 13  4       29.9998         0.6436       181.656        1.498
   0 13  5       29.9943         0.6384       180.961        1.515
   0 13  6       29.9924         0.6329       180.265        1.531
   0 13  7       29.9941         0.6273       179.569        1.546
   0 13  8       29.9996         0.6216       178.872        1.562
   0 13  9       30.0087         0.6158       178.175        1.576
   0 13 10       30.0214         0.6097       177.479        1.591
   0 13 11       30.0379         0.6036       176.782        1.604
   0 13 12       30.0580         0.5973       176.087        1.618
   0 13 13       30.0818         0.5909       175.391        1.630
   0 13 14       30.1093         0.5844       174.697        1.643
   0 13 15       30.1404         0.5778       174.004        1.654
   0 13 16       30.1751         0.5710       173.312        1.666
   0 13 17       30.2134         0.5642       172.622        1.676
   0 13 18       30.2554         0.5572       171.933        1.687
   0 13 19       30.3010         0.5502       171.247        1.696
   0 13 20       30.3501         0.5430       170.562        1.705
   0 13 21       30.4027         0.5358       169.880        1.714
   0 13 22       30.4589         0.5285       169.200        1.722
   0 13 23       30.5186         0.5211       168.523        1.729
   0 13 24       30.5817         0.5136       167.848        1.736
   0 13 25       30.6482         0.5061       167.177        1.743
   0 13 26       30.7181         0.4985       166.508        1.748
   0 13 27       30.7914         0.4908       165.843        1.754
   0 13 28       30.8680         0.4831       165.182        1.758
   0 13 29       30.9479         0.4754       164.523        1.763
   0 13 30       31.0310         0.4676       163.869        1.766
   0 13 31       31.1174         0.4598       163.219        1.769
   0 14  0       30.4051         0.6606       184.383        1.415
   0 14  1       30.3855         0.6560       183.700        1.433
   0 14  2       30.3695         0.6512       183.015        1.450
   0 14  3       30.3570         0.6463       182.329        1.467
   0 14  4       30.3480         0.6413       181.642        1.483
   0 14  5       30.3427         0.6361       180.954        1.499
   0 14  6       30.3409         0.6307       180.266        1.515
   0 14  7       30.3428         0.6252       179.577        1.530
   0 14  8       30.3483         0.6196       178.887        1.545
   0 14  9       30.3574         0.6138       178.198        1.560
   0 14 10       30.3701         0.6079       177.508        1.574
   0 14 11       30.3865         0.6018       176.819        1.587
   0 14 12       30.4064         0.5956       176.130        1.600
   0 14 13       30.4300         0.5893       175.442        1.613
   0 14 14       30.4572         0.5829       174.755        1.625
   0 14 15       30.4880         0.5763       174.069        1.636
   0 14 16       30.5224         0.5697       173.384        1.648
   0 14 17       30.5604         0.5629       172.701        1.658
   0 14 18       30.6019         0.5561       172.019        1.668
   0 14 19       30.6470         0.5491       171.339        1.678
   0 14 20       30.6956         0.5421       170.662        1.687
   0 14 21       30.7476         0.5349       169.986        1.695
   0 14 22       30.8032         0.5277       169.313        1.703
   0 14 23       30.8622         0.5204       168.642        1.710
   0 14 24       30.9246         0.5131       167.974        1.717
   0 14 25       30.9903         0.5056       167.309        1.724
   0 14 26       31.0595         0.4982       166.646        1.729
   0 14 27       31.1319         0.4906       165.987        1.735
   0 14 28       31.2076         0.4830       165.332        1.739
   0 14 29       31.2866         0.4754       164.680        1.744
   0 14 30       31.3688         0.4677       164.031        1.747
   0 14 31       31.4541         0.4600       163.386        1.750
   0 15  0       30.7521         0.6579       184.342        1.402
   0 15  1       30.7329         0.6534       183.665        1.419
   0 15  2       30.7172         0.6487       182.988        1.436
   0 15  3       30.7050         0.6439       182.309        1.452
   0 15  4       30.6963         0.6389       181.629        1.469
   0 15  5       30.6912         0.6337       180.948        1.484
   0 15  6       30.6896         0.6284       180.267        1.500
   0 15  7       30.6915         0.6230       179.584        1.515
   0 15  8       30.6971         0.6175       178.902        1.529
   0 15  9       30.7062         0.6118       178.220        1.543
   0 15 10       30.7189         0.6059       177.537        1.557
   0 15 11       30.7351         0.5999       176.855        1.570
   0 15 12       30.7549         0.5939       176.173        1.583
   0 15 13       30.7783         0.5876       175.492        1.596
   0 15 14       30.8053         0.5813       174.812        1.607
   0 15 15       30.8358         0.5749       174.133        1.619
   0 15 16       30.8699         0.5683       173.455        1.630
   0 15 17       30.9075         0.5616       172.778        1.640
   0 15 18       30.9485         0.5549       172.103        1.650
   0 15 19       30.9931         0.5480       171.430        1.659
   0 15 20       31.0412         0.5411       170.759        1.668
   0 15 21       31.0927         0.5340       170.090        1.677
   0 15 22       31.1476         0.5269       169.423        1.684
   0 15 23       31.2059         0.5197       168.759        1.692
   0 15 24       31.2676         0.5125       168.097        1.699
   0 15 25       31.3327         0.5051       167.438        1.705
   0 15 26       31.4010         0.4977       166.782        1.711
   0 15 27       31.4726         0.4903       166.129        1.716
   0 15 28       31.5475         0.4828       165.479        1.721
   0 15 29       31.6255         0.4753       164.833        1.725
   0 15 30       31.7068         0.4677       164.190        1.729
   0 15 31       31.7911         0.4601       163.551        1.732
   0 16  0       31.0992         0.6552       184.302        1.389
   0 16  1       31.0804         0.6507       183.632        1.406
   0 16  2       31.0650         0.6461       182.961        1.422
   0 16  3       31.0531         0.6413       182.289        1.438
   0 16  4       31.0446         0.6364       181.616        1.454
   0 16  5       31.0397         0.6314       180.942        1.470
   0 16  6       31.0382         0.6261       180.267        1.485
   0 16  7       31.0403         0.6208       179.592        1.499
   0 16  8       31.0459         0.6153       178.917        1.514
   0 16  9       31.0550         0.6097       178.241        1.528
   0 16 10       31.0677         0.6039       177.566        1.541
   0 16 11       31.0838         0.5980       176.890        1.554
   0 16 12       31.1035         0.5920       176.215        1.567
   0 16 13       31.1267         0.5859       175.541        1.579
   0 16 14       31.1535         0.5797       174.868        1.590
   0 16 15       31.1837         0.5733       174.195        1.602
   0 16 16       31.2174         0.5668       173.524        1.612
   0 16 17       31.2546         0.5603       172.854        1.623
   0 16 18       31.2953         0.5536       172.186        1.632
   0 16 19       31.3394         0.5468       171.519        1.642
   0 16 20       31.3869         0.5400       170.854        1.650
   0 16 21       31.4379         0.5330       170.192        1.659
   0 16 22       31.4922         0.5260       169.531        1.666
   0 16 23       31.5499         0.5189       168.873        1.674
   0 16 24       31.6109         0.5118       168.218        1.680
   0 16 25       31.6752         0.5046       167.565        1.687
   0 16 26       31.7427         0.4973       166.915        1.692
   0 16 27       31.8135         0.4899       166.268        1.698
   0 16 28       31.8875         0.4825       165.624        1.702
   0 16 29       31.9647         0.4751       164.983        1.707
   0 16 30       32.0450         0.4676       164.346        1.710
   0 16 31       32.1284         0.4601       163.713        1.714
   0 17  0       31.4463         0.6524       184.262        1.376
   0 17  1       31.4278         0.6480       183.599        1.393
   0 17  2       31.4128         0.6435       182.935        1.409
   0 17  3       31.4012         0.6388       182.270        1.425
   0 17  4       31.3930         0.6339       181.603        1.440
   0 17  5       31.3882         0.6289       180.936        1.455
   0 17  6       31.3869         0.6238       180.268        1.470
   0 17  7       31.3891         0.6185       179.600        1.484
   0 17  8       31.3948         0.6131       178.931        1.498
   0 17  9       31.4039         0.6076       178.262        1.512
   0 17 10       31.4165         0.6019       177.593        1.525
