Tele EF EB theta(degree) thetaE(degree)   phi(degree) phiE(degree)
   0  7 26       29.1961         0.1303       166.969        0.434
   0  7 27       29.2672         0.1309       166.276        0.435
   0  7 28       29.3417         0.1314       165.586        0.435
   0  7 29       29.4198         0.1318       164.901        0.436
   0  7 30       29.5012         0.1323       164.219        0.436
   0  7 31       29.5861         0.1327       163.541        0.436
   0  8  0       29.0015         0.1361       185.534        0.370
   0  8  1       28.9753         0.1354       184.828        0.371
   0  8  2       28.9527         0.1347       184.120        0.375
   0  8  3       28.9339         0.1340       183.410        0.378
   0  8  4       28.9187         0.1333       182.699        0.382
   0  8  5       28.9073         0.1325       181.986        0.386
   0  8  6       28.8996         0.1317       181.272        0.389
   0  8  7       28.8957         0.1308       180.558        0.392
   0  8  8       28.8956         0.1299       179.842        0.395
   0  8  9       28.8992         0.1290       179.127        0.398
   0  8 10       28.9067         0.1281       178.411        0.401
   0  8 11       28.9179         0.1271       177.695        0.404
   0  8 12       28.9329         0.1261       176.979        0.407
   0  8 13       28.9517         0.1251       176.264        0.409
   0  8 14       28.9743         0.1241       175.550        0.412
   0  8 15       29.0006         0.1230       174.836        0.414
   0  8 16       29.0308         0.1226       174.124        0.416
   0  8 17       29.0647         0.1235       173.413        0.418
   0  8 18       29.1023         0.1243       172.703        0.420
   0  8 19       29.1436         0.1251       171.995        0.422
   0  8 20       29.1887         0.1259       171.290        0.423
   0  8 21       29.2374         0.1266       170.586        0.425
   0  8 22       29.2898         0.1273       169.885        0.426
   0  8 23       29.3459         0.1280       169.186        0.427
   0  8 24       29.4055         0.1286       168.490        0.428
   0  8 25       29.4687         0.1292       167.798        0.429
   0  8 26       29.5354         0.1298       167.108        0.430
   0  8 27       29.6057         0.1303       166.421        0.430
   0  8 28       29.6794         0.1308       165.738        0.431
   0  8 29       29.7565         0.1313       165.059        0.431
   0  8 30       29.8370         0.1317       164.384        0.431
   0  8 31       29.9209         0.1321       163.712        0.431
   0  9  0       29.3452         0.1356       185.480        0.366
   0  9  1       29.3195         0.1349       184.781        0.367
   0  9  2       29.2974         0.1343       184.080        0.371
   0  9  3       29.2789         0.1336       183.378        0.375
   0  9  4       29.2640         0.1328       182.674        0.378
   0  9  5       29.2529         0.1321       181.969        0.382
   0  9  6       29.2454         0.1313       181.262        0.385
   0  9  7       29.2417         0.1304       180.555        0.388
   0  9  8       29.2417         0.1296       179.848        0.391
   0  9  9       29.2454         0.1287       179.140        0.394
   0  9 10       29.2529         0.1277       178.431        0.397
   0  9 11       29.2640         0.1268       177.723        0.400
   0  9 12       29.2790         0.1258       177.015        0.402
   0  9 13       29.2976         0.1248       176.307        0.405
   0  9 14       29.3200         0.1238       175.600        0.407
   0  9 15       29.3461         0.1227       174.894        0.409
   0  9 16       29.3760         0.1221       174.189        0.411
   0  9 17       29.4095         0.1230       173.486        0.413
   0  9 18       29.4468         0.1238       172.783        0.415
   0  9 19       29.4877         0.1246       172.083        0.417
   0  9 20       29.5323         0.1253       171.384        0.418
   0  9 21       29.5805         0.1261       170.688        0.420
   0  9 22       29.6323         0.1268       169.994        0.421
   0  9 23       29.6877         0.1274       169.302        0.422
   0  9 24       29.7466         0.1281       168.613        0.423
   0  9 25       29.8091         0.1287       167.927        0.424
   0  9 26       29.8751         0.1292       167.244        0.425
   0  9 27       29.9445         0.1298       166.564        0.425
   0  9 28       30.0173         0.1303       165.888        0.426
   0  9 29       30.0936         0.1307       165.215        0.426
   0  9 30       30.1732         0.1312       164.546        0.427
   0  9 31       30.2561         0.1316       163.880        0.427
   0 10  0       29.6891         0.1351       185.426        0.362
   0 10  1       29.6638         0.1345       184.735        0.364
   0 10  2       29.6421         0.1338       184.041        0.367
   0 10  3       29.6240         0.1331       183.346        0.371
   0 10  4       29.6095         0.1324       182.649        0.374
   0 10  5       29.5986         0.1316       181.952        0.378
   0 10  6       29.5914         0.1308       181.253        0.381
   0 10  7       29.5878         0.1300       180.553        0.384
   0 10  8       29.5879         0.1292       179.853        0.387
   0 10  9       29.5917         0.1283       179.152        0.390
   0 10 10       29.5992         0.1274       178.451        0.393
   0 10 11       29.6104         0.1264       177.750        0.395
   0 10 12       29.6252         0.1255       177.050        0.398
   0 10 13       29.6437         0.1245       176.350        0.400
   0 10 14       29.6659         0.1234       175.650        0.403
   0 10 15       29.6918         0.1224       174.951        0.405
   0 10 16       29.7214         0.1217       174.253        0.407
   0 10 17       29.7546         0.1225       173.557        0.409
   0 10 18       29.7915         0.1233       172.862        0.411
   0 10 19       29.8319         0.1241       172.169        0.412
   0 10 20       29.8760         0.1248       171.477        0.414
   0 10 21       29.9237         0.1256       170.788        0.415
