Tele EF EB theta(degree) thetaE(degree)   phi(degree) phiE(degree)
   0  6 20       28.2404         0.5692       169.936        1.811
   0  6 21       28.2965         0.5612       169.212        1.818
   0  6 22       28.3564         0.5530       168.491        1.824
   0  6 23       28.4201         0.5448       167.773        1.829
   0  6 24       28.4875         0.5365       167.059        1.834
   0  6 25       28.5585         0.5281       166.348        1.838
   0  6 26       28.6332         0.5196       165.641        1.842
   0  6 27       28.7115         0.5111       164.938        1.844
   0  6 28       28.7933         0.5026       164.239        1.847
   0  6 29       28.8786         0.4940       163.544        1.848
   0  6 30       28.9674         0.4853       162.854        1.849
   0  6 31       29.0596         0.4767       162.169        1.850
   0  7  0       28.2846         0.6998       184.634        1.533
   0  7  1       28.2627         0.6948       183.908        1.550
   0  7  2       28.2445         0.6897       183.180        1.568
   0  7  3       28.2303         0.6843       182.451        1.585
   0  7  4       28.2198         0.6788       181.720        1.601
   0  7  5       28.2133         0.6730       180.989        1.617
   0  7  6       28.2107         0.6671       180.256        1.633
   0  7  7       28.2119         0.6611       179.523        1.648
   0  7  8       28.2171         0.6548       178.790        1.662
   0  7  9       28.2262         0.6484       178.056        1.676
   0  7 10       28.2392         0.6419       177.323        1.690
   0  7 11       28.2561         0.6352       176.590        1.703
   0  7 12       28.2770         0.6283       175.857        1.715
   0  7 13       28.3017         0.6213       175.126        1.726
   0  7 14       28.3304         0.6142       174.395        1.737
   0  7 15       28.3629         0.6069       173.666        1.748
   0  7 16       28.3993         0.5995       172.938        1.758
   0  7 17       28.4396         0.5920       172.213        1.767
   0  7 18       28.4837         0.5843       171.489        1.775
   0  7 19       28.5316         0.5766       170.767        1.783
   0  7 20       28.5833         0.5687       170.048        1.790
   0  7 21       28.6388         0.5608       169.332        1.797
   0  7 22       28.6980         0.5528       168.618        1.803
   0  7 23       28.7609         0.5446       167.908        1.808
   0  7 24       28.8275         0.5364       167.200        1.813
   0  7 25       28.8977         0.5282       166.497        1.817
   0  7 26       28.9715         0.5199       165.797        1.821
   0  7 27       29.0489         0.5115       165.100        1.824
   0  7 28       29.1297         0.5030       164.408        1.826
   0  7 29       29.2141         0.4945       163.720        1.827
   0  7 30       29.3018         0.4860       163.036        1.829
   0  7 31       29.3929         0.4775       162.357        1.829
   0  8  0       28.6296         0.6974       184.588        1.517
   0  8  1       28.6081         0.6925       183.870        1.534
   0  8  2       28.5903         0.6874       183.150        1.552
   0  8  3       28.5763         0.6821       182.428        1.568
   0  8  4       28.5662         0.6766       181.705        1.584
   0  8  5       28.5599         0.6710       180.982        1.600
   0  8  6       28.5574         0.6651       180.257        1.615
   0  8  7       28.5587         0.6592       179.532        1.630
   0  8  8       28.5639         0.6530       178.806        1.644
   0  8  9       28.5730         0.6467       178.081        1.658
   0  8 10       28.5860         0.6402       177.355        1.671
   0  8 11       28.6028         0.6336       176.630        1.683
   0  8 12       28.6235         0.6269       175.906        1.695
   0  8 13       28.6480         0.6200       175.182        1.707
   0  8 14       28.6764         0.6129       174.459        1.717
   0  8 15       28.7086         0.6058       173.738        1.728
   0  8 16       28.7446         0.5985       173.018        1.737
   0  8 17       28.7844         0.5911       172.300        1.746
   0  8 18       28.8281         0.5835       171.584        1.755
   0  8 19       28.8754         0.5759       170.870        1.763
   0  8 20       28.9266         0.5682       170.158        1.770
   0  8 21       28.9814         0.5603       169.449        1.776
   0  8 22       29.0399         0.5524       168.743        1.782
   0  8 23       29.1021         0.5444       168.039        1.788
   0  8 24       29.1679         0.5363       167.339        1.792
   0  8 25       29.2373         0.5282       166.642        1.797
   0  8 26       29.3103         0.5200       165.949        1.800
   0  8 27       29.3867         0.5117       165.259        1.803
   0  8 28       29.4666         0.5034       164.574        1.805
   0  8 29       29.5500         0.4950       163.892        1.807
   0  8 30       29.6367         0.4866       163.214        1.808
   0  8 31       29.7267         0.4781       162.541        1.809
   0  9  0       28.9748         0.6949       184.543        1.502
   0  9  1       28.9537         0.6901       183.832        1.519
   0  9  2       28.9363         0.6850       183.120        1.536
   0  9  3       28.9226         0.6798       182.406        1.552
   0  9  4       28.9127         0.6744       181.691        1.567
   0  9  5       28.9066         0.6688       180.975        1.583
   0  9  6       28.9043         0.6631       180.258        1.598
   0  9  7       28.9057         0.6572       179.541        1.612
   0  9  8       28.9110         0.6511       178.823        1.626
   0  9  9       28.9201         0.6449       178.105        1.639
   0  9 10       28.9329         0.6386       177.387        1.652
   0  9 11       28.9496         0.6320       176.670        1.664
   0  9 12       28.9702         0.6254       175.953        1.676
   0  9 13       28.9945         0.6186       175.237        1.687
   0  9 14       29.0226         0.6116       174.522        1.698
   0  9 15       29.0545         0.6046       173.808        1.708
   0  9 16       29.0901         0.5974       173.096        1.718
   0  9 17       29.1295         0.5901       172.385        1.727
   0  9 18       29.1727         0.5827       171.677        1.735
   0  9 19       29.2195         0.5751       170.970        1.743
   0  9 20       29.2701         0.5675       170.266        1.750
   0  9 21       29.3243         0.5598       169.564        1.756
   0  9 22       29.3822         0.5520       168.864        1.762
   0  9 23       29.4436         0.5441       168.168        1.767
   0  9 24       29.5087         0.5361       167.475        1.772
   0  9 25       29.5773         0.5281       166.785        1.776
   0  9 26       29.6494         0.5200       166.098        1.780
   0  9 27       29.7249         0.5118       165.415        1.783
   0  9 28       29.8039         0.5036       164.736        1.785
   0  9 29       29.8863         0.4954       164.060        1.787
   0  9 30       29.9720         0.4871       163.389        1.789
   0  9 31       30.0610         0.4787       162.722        1.789
   0 10  0       29.3202         0.6924       184.499        1.487
   0 10  1       29.2995         0.6876       183.795        1.504
   0 10  2       29.2825         0.6826       183.090        1.520
   0 10  3       29.2691         0.6775       182.384        1.536
   0 10  4       29.2595         0.6721       181.677        1.551
   0 10  5       29.2535         0.6667       180.968        1.566
   0 10  6       29.2513         0.6610       180.259        1.581
   0 10  7       29.2529         0.6552       179.549        1.595
   0 10  8       29.2582         0.6492       178.839        1.608
   0 10  9       29.2673         0.6431       178.129        1.621
   0 10 10       29.2801         0.6368       177.419        1.634
   0 10 11       29.2967         0.6304       176.709        1.646
   0 10 12       29.3170         0.6238       176.000        1.658
   0 10 13       29.3411         0.6171       175.291        1.669
   0 10 14       29.3690         0.6103       174.584        1.679
   0 10 15       29.4006         0.6033       173.877        1.689
   0 10 16       29.4358         0.5962       173.173        1.698
   0 10 17       29.4748         0.5890       172.469        1.707
   0 10 18       29.5175         0.5817       171.768        1.715
   0 10 19       29.5639         0.5743       171.068        1.723
   0 10 20       29.6139         0.5668       170.371        1.730
   0 10 21       29.6675         0.5592       169.676        1.736
   0 10 22       29.7247         0.5515       168.984        1.742
   0 10 23       29.7855         0.5437       168.294        1.748
   0 10 24       29.8497         0.5358       167.608        1.752
   0 10 25       29.9175         0.5279       166.924        1.757
   0 10 26       29.9888         0.5199       166.244        1.760
   0 10 27       30.0635         0.5119       165.568        1.763
   0 10 28       30.1415         0.5038       164.895        1.766
   0 10 29       30.2230         0.4956       164.226        1.768
   0 10 30       30.3077         0.4874       163.560        1.769
   0 10 31       30.3956         0.4792       162.899        1.770
   0 11  0       29.6658         0.6898       184.455        1.472
   0 11  1       29.6455         0.6851       183.759        1.489
   0 11  2       29.6288         0.6802       183.062        1.504
   0 11  3       29.6157         0.6751       182.363        1.520
   0 11  4       29.6063         0.6698       181.663        1.535
   0 11  5       29.6006         0.6644       180.962        1.550
   0 11  6       29.5986         0.6589       180.260        1.564
   0 11  7       29.6002         0.6531       179.558        1.578
   0 11  8       29.6056         0.6472       178.855        1.591
   0 11  9       29.6147         0.6412       178.152        1.604
   0 11 10       29.6274         0.6350       177.450        1.616
   0 11 11       29.6439         0.6287       176.747        1.628
   0 11 12       29.6641         0.6222       176.045        1.639
   0 11 13       29.6880         0.6156       175.344        1.650
   0 11 14       29.7156         0.6089       174.644        1.660
   0 11 15       29.7468         0.6020       173.945        1.670
   0 11 16       29.7818         0.5950       173.247        1.679
   0 11 17       29.8204         0.5879       172.551        1.688
   0 11 18       29.8626         0.5807       171.857        1.696
   0 11 19       29.9084         0.5734       171.164        1.704
   0 11 20       29.9579         0.5660       170.474        1.711
   0 11 21       30.0109         0.5585       169.786        1.717
   0 11 22       30.0675         0.5509       169.101        1.723
   0 11 23       30.1275         0.5432       168.418        1.728
   0 11 24       30.1911         0.5355       167.738        1.733
   0 11 25       30.2581         0.5277       167.061        1.737
   0 11 26       30.3285         0.5198       166.388        1.741
   0 11 27       30.4024         0.5118       165.717        1.744
   0 11 28       30.4795         0.5038       165.051        1.747
   0 11 29       30.5600         0.4958       164.388        1.749
   0 11 30       30.6437         0.4877       163.728        1.750
   0 11 31       30.7307         0.4796       163.073        1.751
   0 12  0       30.0115         0.6872       184.413        1.458
   0 12  1       29.9916         0.6825       183.724        1.474
   0 12  2       29.9752         0.6777       183.034        1.489
   0 12  3       29.9625         0.6727       182.342        1.505
   0 12  4       29.9533         0.6675       181.649        1.519
   0 12  5       29.9478         0.6622       180.955        1.534
   0 12  6       29.9459         0.6567       180.261        1.548
   0 12  7       29.9477         0.6510       179.566        1.561
   0 12  8       29.9531         0.6452       178.870        1.574
   0 12  9       29.9622         0.6393       178.175        1.587
   0 12 10       29.9749         0.6332       177.480        1.599
   0 12 11       29.9913         0.6269       176.784        1.610
   0 12 12       30.0113         0.6205       176.090        1.622
   0 12 13       30.0350         0.6140       175.396        1.632
   0 12 14       30.0623         0.6074       174.703        1.642
   0 12 15       30.0933         0.6006       174.011        1.652
   0 12 16       30.1279         0.5937       173.321        1.661
   0 12 17       30.1661         0.5867       172.631        1.669
   0 12 18       30.2078         0.5796       171.944        1.677
   0 12 19       30.2532         0.5724       171.259        1.685
   0 12 20       30.3021         0.5651       170.575        1.692
   0 12 21       30.3545         0.5577       169.894        1.698
   0 12 22       30.4104         0.5502       169.215        1.704
   0 12 23       30.4698         0.5427       168.539        1.709
   0 12 24       30.5327         0.5350       167.866        1.714
   0 12 25       30.5989         0.5273       167.195        1.718
   0 12 26       30.6686         0.5196       166.528        1.722
   0 12 27       30.7415         0.5117       165.864        1.725
   0 12 28       30.8178         0.5038       165.203        1.728
   0 12 29       30.8974         0.4959       164.546        1.730
   0 12 30       30.9801         0.4879       163.893        1.731
   0 12 31       31.0661         0.4799       163.244        1.733
   0 13  0       30.3573         0.6845       184.371        1.444
   0 13  1       30.3378         0.6799       183.690        1.459
   0 13  2       30.3218         0.6752       183.006        1.475
   0 13  3       30.3093         0.6702       182.322        1.490
   0 13  4       30.3004         0.6651       181.636        1.504
   0 13  5       30.2951         0.6598       180.949        1.518
   0 13  6       30.2934         0.6544       180.262        1.532
   0 13  7       30.2952         0.6489       179.574        1.545
   0 13  8       30.3007         0.6431       178.886        1.558
   0 13  9       30.3098         0.6373       178.197        1.570
   0 13 10       30.3224         0.6312       177.509        1.582
   0 13 11       30.3387         0.6251       176.821        1.593
   0 13 12       30.3586         0.6188       176.134        1.604
   0 13 13       30.3821         0.6124       175.447        1.615
   0 13 14       30.4092         0.6058       174.761        1.625
   0 13 15       30.4399         0.5992       174.076        1.634
   0 13 16       30.4741         0.5924       173.392        1.643
   0 13 17       30.5119         0.5855       172.710        1.651
   0 13 18       30.5532         0.5785       172.030        1.659
   0 13 19       30.5981         0.5714       171.351        1.667
   0 13 20       30.6465         0.5642       170.674        1.673
   0 13 21       30.6983         0.5569       170.000        1.680
   0 13 22       30.7536         0.5495       169.327        1.685
   0 13 23       30.8124         0.5421       168.658        1.691
   0 13 24       30.8745         0.5345       167.991        1.695
   0 13 25       30.9400         0.5269       167.327        1.700
   0 13 26       31.0088         0.5192       166.666        1.703
   0 13 27       31.0810         0.5115       166.008        1.707
   0 13 28       31.1564         0.5037       165.353        1.709
   0 13 29       31.2350         0.4959       164.702        1.712
   0 13 30       31.3168         0.4880       164.055        1.713
   0 13 31       31.4018         0.4801       163.411        1.714
   0 14  0       30.7032         0.6818       184.331        1.430
   0 14  1       30.6841         0.6773       183.656        1.445
   0 14  2       30.6684         0.6726       182.979        1.460
   0 14  3       30.6562         0.6677       182.301        1.475
   0 14  4       30.6476         0.6627       181.623        1.489
   0 14  5       30.6425         0.6575       180.943        1.503
   0 14  6       30.6409         0.6521       180.263        1.516
   0 14  7       30.6429         0.6466       179.582        1.529
   0 14  8       30.6484         0.6410       178.900        1.541
   0 14  9       30.6574         0.6352       178.219        1.554
   0 14 10       30.6701         0.6293       177.538        1.565
   0 14 11       30.6863         0.6232       176.857        1.576
   0 14 12       30.7060         0.6170       176.176        1.587
   0 14 13       30.7293         0.6107       175.497        1.597
