Tele EF EB theta(degree) phi(degree)
   0 14 25       31.2813     167.456
   0 14 26       31.3493     166.801
   0 14 27       31.4206     166.149
   0 14 28       31.4952     165.500
   0 14 29       31.5729     164.855
   0 14 30       31.6538     164.213
   0 14 31       31.7378     163.575
   0 15  0       31.0491     184.291
   0 15  1       31.0304     183.622
   0 15  2       31.0151     182.953
   0 15  3       31.0032     182.282
   0 15  4       30.9948     181.610
   0 15  5       30.9899     180.937
   0 15  6       30.9885     180.263
   0 15  7       30.9905     179.589
   0 15  8       30.9961     178.915
   0 15  9       31.0052     178.241
   0 15 10       31.0178     177.566
   0 15 11       31.0339     176.892
   0 15 12       31.0535     176.218
   0 15 13       31.0766     175.545
   0 15 14       31.1032     174.873
   0 15 15       31.1333     174.202
   0 15 16       31.1669     173.532
   0 15 17       31.2039     172.863
   0 15 18       31.2444     172.196
   0 15 19       31.2883     171.530
   0 15 20       31.3357     170.866
   0 15 21       31.3864     170.205
   0 15 22       31.4405     169.545
   0 15 23       31.4979     168.888
   0 15 24       31.5587     168.234
   0 15 25       31.6227     167.582
   0 15 26       31.6900     166.933
   0 15 27       31.7605     166.287
   0 15 28       31.8342     165.644
   0 15 29       31.9110     165.005
   0 15 30       31.9910     164.369
   0 15 31       32.0740     163.736
   0 16  0       31.3951     184.252
   0 16  1       31.3768     183.590
   0 16  2       31.3618     182.927
   0 16  3       31.3502     182.263
   0 16  4       31.3421     181.597
   0 16  5       31.3373     180.931
   0 16  6       31.3361     180.264
   0 16  7       31.3382     179.597
   0 16  8       31.3439     178.929
   0 16  9       31.3529     178.262
   0 16 10       31.3655     177.594
   0 16 11       31.3815     176.926
   0 16 12       31.4010     176.259
   0 16 13       31.4239     175.593
   0 16 14       31.4503     174.927
   0 16 15       31.4801     174.263
   0 16 16       31.5134     173.599
   0 16 17       31.5500     172.937
   0 16 18       31.5901     172.276
   0 16 19       31.6336     171.617
   0 16 20       31.6804     170.960
   0 16 21       31.7306     170.304
   0 16 22       31.7841     169.651
   0 16 23       31.8409     169.000
   0 16 24       31.9010     168.352
   0 16 25       31.9643     167.706
   0 16 26       32.0308     167.063
   0 16 27       32.1005     166.423
   0 16 28       32.1734     165.786
   0 16 29       32.2493     165.152
   0 16 30       32.3284     164.521
   0 16 31       32.4105     163.894
   0 17  0       31.7411     184.213
   0 17  1       31.7232     183.558
   0 17  2       31.7085     182.901
   0 17  3       31.6972     182.244
   0 17  4       31.6893     181.585
   0 17  5       31.6848     180.925
