*F(0)/B(1)       tel     strip     center (1)      error (1) 
         0         2        17        972.222       0.141407
         0         2        17         1040.6       0.216647
         0         2        17        1317.39       0.522864
         0         2        18        881.335       0.158259
         0         2        18        968.266       0.166103
         0         2        18        1038.11       0.176579
         0         2        18        1320.71       0.210607
         0         2        19        892.816       0.137988
         0         2        19        977.001       0.148235
         0         2        19        1045.75       0.147722
         0         2        19        1321.38       0.374215
         0         2        20        900.026       0.178917
         0         2        20        986.543       0.155632
         0         2        20           1056       0.158571
         0         2        20        1338.84       0.230178
         0         2        21        875.989       0.135226
         0         2        21        959.813       0.147629
         0         2        21        1027.73       0.169554
         0         2        21        1303.89       0.447264
         0         2        22         906.15       0.161532
         0         2        22         991.84       0.166807
         0         2        22        1061.82       0.172091
         0         2        22        1344.51       0.198952
         0         2        23         894.21       0.126571
         0         2        23        978.227       0.138392
         0         2        23        1046.56       0.144653
         0         2        23        1320.91       0.355264
         0         2        24        912.403       0.175018
         0         2        24        999.056       0.195695
         0         2        24        1068.94       0.185818
         0         2        24        1354.14        0.21249
         0         2        25        889.401       0.136816
         0         2        25         973.89       0.144962
         0         2        25        1042.21        0.17024
         0         2        25        1319.08       0.311819
         0         2        27        910.211       0.139517
         0         2        27        994.645        0.14432
         0         2        27        1062.59       0.155634
         0         2        27        1339.32       0.399963
         0         2        28        914.831        0.16431
         0         2        28        1000.64       0.174818
         0         2        28        1070.69       0.179179
         0         2        28         1355.2       0.209573
         0         2        29         897.82       0.136066
         0         2        29          982.2       0.139466
         0         2        29        1050.59       0.165472
         0         2        29        1327.58       0.556815
         0         2        30        917.339        0.20751
         0         2        30        1003.94       0.149091
         0         2        30        1074.07       0.157644
         0         2        30        1357.76       0.194375
         0         2        31        895.393       0.166459
         0         2        31        980.364       0.158725
         0         2        31        1049.26       0.156797
         0         2        31        1328.12       0.294617
         0         3         0        910.724       0.275348
         0         3         0        999.402       0.240031
         0         3         0        1070.59        0.25414
         0         3         0         1361.8       0.379893
         0         3         1        915.805       0.213279
         0         3         1        1002.71       0.272027
         0         3         1        1072.74       0.366377
         0         3         1        1361.06       0.425954
         0         3         2        905.284       0.183676
         0         3         2        992.586       0.184631
         0         3         2        1064.03       0.199483
         0         3         2        1352.73       0.223015
         0         3         3        923.916       0.180985
         0         3         3        1010.31       0.240717
         0         3         3        1080.95       0.297454
         0         3         3        1370.61       0.488226
         0         3         4        905.884       0.194183
         0         3         4        993.556       0.180475
         0         3         4        1064.35       0.186637
         0         3         4        1353.25       0.230847
         0         3         5        934.339        0.19418
         0         3         5        1020.77       0.319431
         0         3         5        1091.55       0.365455
         0         3         5        1382.59       0.565734
         0         3         6        909.763       0.188611
         0         3         6        997.832       0.185816
         0         3         6        1069.58       0.178022
         0         3         6         1358.1       0.261367
         0         3         7        929.815       0.187009
         0         3         7        1016.33       0.289141
         0         3         7        1087.14        0.39993
         0         3         7        1378.71       0.468247
         0         3         8         899.36       0.175015
         0         3         8        987.078       0.201398
         0         3         8        1058.58       0.214787
         0         3         8        1348.33       0.211261
         0         3         9        943.694       0.184314
         0         3         9        1030.38       0.289983
         0         3         9        1101.56       0.431732
         0         3         9        1392.77       0.575554
         0         3        10        914.386       0.186053
         0         3        10        1001.87       0.184828
         0         3        10        1073.22       0.199459
         0         3        10        1363.31       0.237393
         0         3        11        911.572       0.181253
         0         3        11        998.162        0.28213
         0         3        11        1068.25       0.376837
         0         3        11        1357.17       0.452807
         0         3        12        917.401       0.168846
         0         3        12        1005.27       0.169387
         0         3        12        1076.26       0.210495
         0         3        12         1366.7       0.206433
         0         3        13        916.729       0.194761
         0         3        13        1003.61       0.294808
         0         3        13        1074.41       0.413722
         0         3        13         1365.8       0.374283
         0         3        14        917.338       0.167727
         0         3        14        1005.05       0.192974
         0         3        14        1076.11       0.183654
         0         3        14        1364.66       0.245833
         0         3        15        928.904       0.161165
         0         3        15        1077.51        2.34041
         0         3        15        1086.54       0.292068
         0         3        15        1376.46        0.44346
         0         3        16        920.604       0.159497
         0         3        16        1008.49       0.187051
         0         3        16        1079.71       0.176879
         0         3        16        1369.75       0.239684
         0         3        17        912.693       0.185723
         0         3        17        999.343       0.253878
         0         3        17        1069.28       0.264329
         0         3        17        1357.41       0.456419
         0         3        18        917.358       0.176778
         0         3        18        1004.99       0.173009
         0         3        18         1076.6       0.170088
         0         3        18        1365.58       0.230643
         0         3        19        934.066       0.199166
         0         3        19        1021.12       0.251682
         0         3        19        1092.33       0.462372
         0         3        19        1381.44       0.440908
         0         3        20        907.796       0.163518
         0         3        20        996.084       0.160724
         0         3        20        1067.46       0.178754
         0         3        20         1358.5       0.208525
         0         3        21        915.121       0.209815
         0         3        21         1002.3       0.252866
         0         3        21        1072.93       0.375177
         0         3        21        1363.67       0.504969
         0         3        22        921.627       0.173634
         0         3        22        1009.96       0.170033
         0         3        22        1082.26       0.178502
         0         3        22        1373.99       0.246088
         0         3        23        932.187        0.20298
         0         3        23        1019.08       0.350843
         0         3        23        1090.24       0.438401
         0         3        23        1382.82       0.347874
         0         3        24         919.71       0.162415
         0         3        24        1007.68       0.159295
         0         3        24        1078.88       0.169402
         0         3        24        1369.02       0.250217
         0         3        25         916.46       0.201624
         0         3        25        1003.47       0.288069
         0         3        25        1073.93       0.268568
         0         3        25        1364.34       0.386842
         0         3        26         926.01       0.165287
         0         3        26        1014.76       0.166679
         0         3        26           1086       0.182617
         0         3        26        1378.18       0.208252
         0         3        27        918.404       0.192689
         0         3        27        1004.97       0.324724
         0         3        27        1075.58         0.3653
         0         3        27        1366.59       0.435351
         0         3        28        906.558        0.19323
         0         3        28        994.576       0.186511
         0         3        28        1066.08       0.187224
         0         3        28        1355.32       0.221021
         0         3        29        928.576       0.157681
         0         3        29        1015.56       0.230388
         0         3        29        1086.06       0.471352
         0         3        29        1376.04       0.457747
         0         3        30        934.628       0.166305
         0         3        30        1023.51       0.179226
         0         3        30        1095.69       0.170762
         0         3        30        1388.58       0.225574
         0         3        31        935.809       0.173827
         0         3        31        1023.09       0.216911
         0         3        31        1094.39       0.262221
         0         3        31        1384.01        0.43271
         0         4         0        871.664       0.214137
         0         4         0        958.377       0.206014
         0         4         0         1028.1       0.198462
         0         4         0        1312.54       0.248156
         0         4         1        871.752       0.133051
         0         4         1        956.943       0.179133
         0         4         1        1025.92       0.184323
         0         4         1        1307.44       0.389815
         0         4         2        885.262       0.152144
         0         4         2        972.318       0.145916
         0         4         2        1042.45       0.164469
         0         4         2        1327.59       0.204294
         0         4         3        899.445       0.159218
         0         4         3        984.815       0.189892
         0         4         3        1054.36       0.259755
         0         4         3        1337.38       0.374101
         0         4         4        903.668       0.153753
         0         4         4        989.894       0.156175
         0         4         4        1060.55        0.15548
         0         4         4        1345.44       0.193902
         0         4         5        900.969       0.138441
         0         4         5        985.946       0.163293
         0         4         5        1055.04       0.251136
         0         4         5        1338.43       0.263506
         0         4         6        888.527       0.141188
         0         4         6        974.481       0.146653
         0         4         6        1044.61       0.149998
         0         4         6        1327.25       0.197652
         0         4         7        892.416       0.153131
         0         4         7        978.407       0.165833
         0         4         7         1046.5       0.174989
         0         4         7         1329.8       0.328345
         0         4         8        879.468       0.130766
         0         4         8        965.496       0.148596
         0         4         8        1035.79       0.151671
         0         4         8         1320.2       0.171104
         0         4         9        904.454       0.125052
         0         4         9        990.232       0.181746
         0         4         9        1059.88       0.213193
         0         4         9        1342.83       0.330224
         0         4        10        890.491       0.152975
         0         4        10        977.361       0.143043
         0         4        10        1048.19       0.147152
         0         4        10        1333.04       0.184867
         0         4        11        908.901       0.149242
         0         4        11        995.341       0.182049
         0         4        11        1064.41       0.166321
         0         4        11        1349.02         0.2993
         0         4        12        897.851       0.134935
         0         4        12        983.937       0.140743
         0         4        12        1054.24       0.152004
         0         4        12        1337.88       0.187548
         0         4        13        900.117       0.150134
         0         4        13        985.268       0.173046
         0         4        13        1054.52       0.280181
         0         4        13        1338.44       0.259187
         0         4        14        885.974       0.137092
         0         4        14        971.651       0.145368
         0         4        14        1041.24       0.153227
         0         4        14        1322.99       0.170277
         0         4        15        901.191       0.132392
         0         4        15        986.135       0.184528
         0         4        15        1054.56       0.279066
         0         4        15        1337.43       0.246688
         0         4        16        876.338       0.137311
         0         4        16        961.994       0.135932
         0         4        16        1031.38       0.136735
         0         4        16        1313.09       0.177561
         0         4        17        900.388       0.143908
         0         4        17        984.998       0.169038
         0         4        17        1053.65       0.294063
         0         4        17         1334.5       0.259942
         0         4        18        890.005       0.149939
         0         4        18        976.591       0.148695
         0         4        18        1047.25       0.131741
         0         4        18        1331.92       0.173962
         0         4        19        895.282       0.164588
         0         4        19        980.321       0.194706
         0         4        19        1048.25       0.218596
         0         4        19        1330.37       0.297479
         0         4        20        889.987       0.141187
         0         4        20        976.246       0.141406
         0         4        20        1046.82        0.14478
         0         4        20           1331       0.184368
         0         4        21         904.33       0.134268
         0         4        21         990.07        0.19998
         0         4        21         1059.9        0.23814
         0         4        21        1343.32       0.424954
         0         4        22        891.535        0.13983
         0         4        22        977.615       0.136435
         0         4        22        1047.48         0.1462
         0         4        22        1331.34       0.187601
         0         4        23        897.797       0.146744
         0         4        23         983.09       0.173366
         0         4        23        1051.75       0.267309
         0         4        23        1335.98       0.295806
         0         4        24         903.68       0.138306
         0         4        24        990.073       0.140737
         0         4        24        1060.66       0.137502
         0         4        24        1343.89       0.177126
         0         4        25        907.486       0.152536
         0         4        25        1050.37        1.58104
         0         4        25        1062.44       0.196531
         0         4        25        1347.37       0.321215
         0         4        26        897.602       0.136669
         0         4        26        984.324       0.140305
         0         4        26        1054.25       0.154681
         0         4        26        1338.13       0.167146
         0         4        27         903.82       0.120458
         0         4        27        988.843       0.183487
         0         4        27         1058.9       0.285776
         0         4        27         1342.9       0.334996
         0         4        28        906.614       0.136665
         0         4        28         993.39       0.139357
         0         4        28        1063.76       0.133613
         0         4        28         1348.6       0.167236
         0         4        29        915.544       0.148541
         0         4        29        1001.11       0.179933
         0         4        29        1070.86       0.262899
         0         4        29        1355.36       0.385092
         0         4        30         916.77       0.138815
         0         4        30        1002.77        0.14822
         0         4        30        1073.27       0.143939
         0         4        30        1357.68       0.191692
         0         4        31        906.094       0.170546
         0         4        31        992.545       0.216824
         0         4        31        1062.44       0.218635
         0         4        31        1347.25       0.357046
         0         5         0        893.555       0.191377
         0         5         0        979.588       0.187125
         0         5         0        1050.14       0.188585
         0         5         0        1333.04       0.290004
         0         5         1        927.552       0.170812
         0         5         1        1013.07       0.256426
         0         5         1         1083.2       0.416106
         0         5         1         1370.8       0.400954
         0         5         2        928.212       0.124668
         0         5         2        1014.21       0.145498
         0         5         2        1084.39        0.15021
         0         5         2        1368.81       0.190764
         0         5         3        928.607       0.268332
         0         5         3        1014.64       0.500015
         0         5         3        1086.66       0.308541
         0         5         3        1376.69       0.518154
         0         5         4        913.991       0.146546
         0         5         4        1000.25       0.149067
         0         5         4        1070.39       0.137724
         0         5         4        1354.36       0.174661
         0         5         5        927.747       0.247917
         0         5         5        1013.87       0.337196
         0         5         5        1085.78       0.392301
         0         5         5        1375.46       0.662714
         0         5         6         910.31       0.139413
         0         5         6        996.619       0.131803
         0         5         6        1066.44       0.132616
         0         5         6        1349.78       0.186091
         0         5         7        926.964       0.225192
         0         5         7        1084.01       0.291994
         0         5         7        1107.73        1.55492
         0         5         7         1374.9       0.447622
         0         5         8        903.261        0.14072
         0         5         8        989.291       0.132384
         0         5         8        1059.21       0.129782
         0         5         8        1343.24         0.1811
         0         5         9        926.047       0.171712
         0         5         9        1012.19       0.307676
         0         5         9        1082.92       0.355889
         0         5         9        1374.99       0.461033
         0         5        10        893.148       0.125155
         0         5        10        979.097       0.130772
         0         5        10        1048.78       0.141547
         0         5        10        1331.27       0.178203
         0         5        11        930.238       0.204928
         0         5        11        1014.86        0.37227
         0         5        11        1086.32         0.4772
         0         5        11        1376.33       0.393468
         0         5        12        906.914       0.137431
         0         5        12        992.901        0.12812
         0         5        12        1062.65       0.143755
         0         5        12        1345.14       0.178047
         0         5        13        919.728       0.233407
         0         5        13        1005.15       0.436389
         0         5        13        1076.15       0.423383
         0         5        13        1366.34       0.611896
         0         5        14        904.254        0.13618
         0         5        14        990.075        0.13296
         0         5        14        1059.75       0.126553
         0         5        14        1342.03        0.18238
         0         5        15        913.622       0.205627
         0         5        15        999.313       0.344544
         0         5        15        1069.49       0.486012
         0         5        15        1359.12       0.424106
         0         5        16        885.105       0.125455
         0         5        16        970.818       0.121921
         0         5        16        1040.29       0.135931
         0         5        16        1322.08       0.153713
         0         5        17        926.435       0.244353
         0         5        17        1011.73       0.478361
         0         5        17        1083.28       0.360339
         0         5        17         1372.1        0.33803
         0         5        18        903.337       0.120961
         0         5        18        989.619       0.122543
         0         5        18        1059.67       0.127809
         0         5        18        1343.78       0.178698
         0         5        19        926.016       0.318695
         0         5        19        1011.93       0.514651
         0         5        19        1082.57       0.471713
         0         5        19        1372.63       0.548843
         0         5        20        912.162       0.129222
         0         5        20        998.599       0.132409
         0         5        20        1068.71       0.131858
         0         5        20        1352.82       0.169699
         0         5        21        943.668       0.192728
         0         5        21        1028.73       0.369835
         0         5        21        1098.77       0.453789
         0         5        21        1388.32       0.341331
         0         5        22        904.269        0.13319
         0         5        22        990.358       0.111804
         0         5        22        1059.56       0.119091
         0         5        22        1342.59       0.160614
         0         5        23         933.16       0.179678
         0         5        23        1018.84       0.329755
         0         5        23        1089.92       0.415488
         0         5        23        1380.64       0.408147
         0         5        24        892.819       0.122542
         0         5        24        978.923        0.12172
         0         5        24        1048.94       0.120432
         0         5        24        1331.53       0.154232
         0         5        25        923.806       0.204999
         0         5        25        1009.55       0.398002
         0         5        25        1079.34       0.430456
         0         5        25        1370.69       0.524988
         0         5        26        905.942       0.117285
