*telnum  csinum     ch      err_ch       theta(deg)  theta_min (deg)   theta_max      energy  err_energy       CsI V  err_CsI V
    9      2  189.969    0.591419           70.925           70.705      71.145     12.5959     1.03965   0.0826104  0.000531374  
    9      2  165.722     0.50443           71.915           71.695      72.135     9.11466     1.16048   0.0608247  0.000453216  
    9      2  136.474     1.21542           72.905           72.685      73.125     4.90453     1.71622   0.0345462  0.00109202  
    9      3  198.771    0.689324           69.825           69.605      70.045     16.1587    0.991987    0.110714  0.000671038  
    9      3  181.399    0.837567           70.705           70.485      70.925     13.3262     1.02543    0.093803  0.000815348  
    9      3  161.707     0.30569           71.585           71.365      71.805     10.3185     1.10502   0.0746334  0.00029758  
    9      3  140.542    0.524671           72.465           72.245      72.685      6.9381     1.33872   0.0540303  0.000510753  
   10      2  181.972     13.1202           71.585           71.365      71.805     10.8365     1.06448   0.0659866   0.0130393  
   10      2  163.304     1.71869           72.465           72.245      72.685     7.61869     1.23398   0.0474333   0.0017081  
   10      2  135.732     8.70965           73.345           73.125      73.565     3.46969     2.41867    0.020032  0.00865598  
   10      3  172.705      8.8367           70.485           70.265      70.705     14.4574    0.989823   0.0944319  0.00804067  
   10      3  160.438     1.91892           71.365           71.145      71.585     11.5859     1.04252   0.0832704  0.00174606  
   10      3  139.982     1.00767           72.245           72.025      72.465     8.46784     1.16989   0.0646572  0.000916895  
   10      3  114.935     1.89437           73.125           72.905      73.345     4.69863        1.72   0.0418661  0.00172372  
   11      0  253.589     3.78391           67.075           66.855      67.295     24.8364     0.99517    0.137851  0.00329449  
   11      0  231.055     14.6831           67.955           67.735      68.175     22.1549    0.980251    0.118232    0.012784  
   11      0  219.355     11.3338           68.835           68.615      69.055     19.4703    0.972981    0.108045  0.00986786  
   11      1  208.342     14.8979           67.625           67.405      67.845     23.1599    0.985128    0.124742   0.0142518  
   11      1  197.17     1.73854           68.505           68.285      68.725     20.4787    0.974623    0.114055  0.00166314  
   11      1  184.674     12.4035           69.385           69.165      69.605     17.7806    0.973953    0.102101   0.0118656  
