      *tel    numcsi         Z         A               AZ2/E               Leff
         5         1         2         6             1.29744          0.00721279
         5         1         2         6             1.05246          0.00744027
         5         1         2         6            0.885304          0.00770368
         5         1         2         6            0.763965          0.00769156
         5         1         2         6            0.671879          0.00785632
         5         1         2         6            0.599604            0.008105
         5         1         2         6            0.541368          0.00817512
         5         1         2         6            0.493443          0.00829892
         5         1         2         6            0.453313          0.00829687
         5         1         2         6             0.41922          0.00822219
         5         1         2         6            0.389896          0.00857668
         5         1         2         6            0.364406          0.00864904
         5         1         2         6            0.342044          0.00865258
         5         1         2         6            0.322269          0.00872301
         5         1         2         6            0.304655          0.00869829
         5         1         2         6            0.288866          0.00866638
         5         1         2         6            0.274634           0.0087442
         5         2         2         6             2.54058          0.00730328
         5         2         2         6             1.75169           0.0080056
         5         2         2         6             1.33664          0.00835206
         5         2         2         6              1.0806          0.00825704
         5         2         2         6            0.906883            0.008112
         5         2         2         6            0.781284          0.00830739
         5         2         2         6            0.686242          0.00850735
         5         2         2         6            0.611816           0.0085138
         5         2         2         6            0.551954          0.00839277
         5         2         2         6            0.502762          0.00862301
         5         2         2         6            0.461621          0.00880671
         5         2         2         6            0.426704          0.00875693
         5         2         2         6            0.396698          0.00908301
         5         2         2         6            0.370634          0.00891507
         5         2         2         6            0.347784          0.00894379
         5         2         2         6            0.327588          0.00926166
         5         2         2         6            0.309609          0.00925872
         5         2         2         6            0.293501          0.00924803
         5         2         2         6            0.278986          0.00929988
         5         2         2         6            0.265839          0.00941063
         5         3         2         6             3.07219          0.00879175
         5         3         2         6             2.27153          0.00965057
         5         3         2         6             1.80192           0.0103084
         5         3         2         6             1.49322           0.0109049
         5         3         2         6             1.27482           0.0112384
         5         3         2         6             1.11215           0.0114579
         5         3         2         6            0.986302           0.0117555
         5         3         2         6            0.886038           0.0117272
         5         3         2         6            0.804278           0.0115716
         5         3         2         6            0.736332           0.0118725
         5         3         2         6            0.678972           0.0121499
         5         3         2         6            0.629903           0.0120966
         5         3         2         6            0.587448           0.0121594
         5         3         2         6            0.550355           0.0122854
         5         3         2         6            0.517668           0.0123576
         5         3         2         6            0.488646           0.0122177
         5         3         2         6            0.462705           0.0122575
         5         3         2         6             0.43938           0.0124743
