      *tel    numcsi               AZ2/E               Leff
         4         3            0.941358          0.00650077
         4         3            0.877581          0.00661111
         4         3            0.821897          0.00675207
         4         3            0.772857          0.00692436
         4         3            0.729341           0.0070505
         4         3            0.690463          0.00709999
         4         3            0.655521           0.0071915
         4         3            0.623945           0.0073598
         4         3            0.595271          0.00746385
         5         0             3.72269           0.0047276
         5         0             2.94366           0.0048494
         5         0             2.43425            0.005093
         5         0             2.07515          0.00542793
         5         0             1.80837          0.00570202
         5         0             1.60237          0.00589444
         5         0             1.43851          0.00606218
         5         0             1.30505          0.00625858
         5         0             1.19425          0.00645599
         5         0             1.10079          0.00656963
         5         0              1.0209          0.00661456
         5         0            0.951822          0.00673089
         5         0            0.891499          0.00693149
         5         0            0.838366          0.00706571
         5         0             0.79121          0.00709933
         5         0            0.749076          0.00716502
         5         0            0.711203          0.00730355
         5         0            0.676976          0.00746481
         5         0            0.645891          0.00762552
         5         0            0.617536          0.00771482
         5         1             4.14206           0.0053126
         5         1             3.33964          0.00542917
         5         1             2.79766          0.00566233
         5         1             2.40704          0.00600299
         5         1             2.11213          0.00636294
         5         1              1.8816          0.00671995
         5         1             1.69644          0.00705355
         5         1             1.54445          0.00731118
         5         1             1.41746          0.00749944
         5         1             1.30977          0.00772385
         5         1             1.21728           0.0080119
         5         1               1.137          0.00824919
         5         1             1.06665          0.00837304
         5         1              1.0045          0.00850492
         5         1            0.949189          0.00873047
         5         1            0.899654          0.00891735
         5         1            0.855033          0.00898108
         5         1            0.814629            0.009091
         5         1            0.777871          0.00931776
         5         1            0.744287          0.00946265
         5         2             3.69448           0.0054434
         5         2             3.02039          0.00559136
         5         2             2.55433          0.00588727
         5         2             2.21287           0.0063092
         5         2             1.95194          0.00667613
         5         2             1.74605          0.00694784
         5         2             1.57946          0.00715904
         5         2             1.44188          0.00737803
         5         2             1.32635          0.00760532
         5         2             1.22796          0.00783053
         5         2             1.14316          0.00805093
         5         2             1.06932          0.00825131
         5         2             1.00444          0.00842486
         5         2            0.946976          0.00858531
         5         2            0.895735          0.00874195
         5         2            0.849754          0.00893003
         5         2            0.808264          0.00917149
         5         2            0.770636          0.00940688
         5         2            0.736356          0.00960192
         5         2            0.704996          0.00970752
         5         3             4.14749          0.00572723
         5         3             3.50704          0.00597593
         5         3             3.03792          0.00647333
         5         3              2.6795          0.00721907
         5         3             2.39673          0.00797632
         5         3             2.16794          0.00854262
         5         3             1.97903          0.00893773
         5         3              1.8204          0.00933106
         5         3             1.68531          0.00975994
         5         3             1.56889           0.0101026
         5         3             1.46751           0.0102822
         5         3             1.37844           0.0104262
         5         3             1.29957           0.0106598
         5         3             1.22923           0.0109171
         5         3             1.16611           0.0111278
         5         3             1.10916           0.0112675
         5         3             1.05752           0.0113181
         5         3             1.01046           0.0114459
         5         3            0.967421           0.0117314
         5         3            0.927896            0.011918
         6         0             3.19411          0.00417557
         6         0             2.58047          0.00430628
         6         0             2.16461           0.0045677
         6         0             1.86418          0.00494168
         6         0             1.63698          0.00526122
         6         0             1.45915          0.00548584
         6         0             1.31617          0.00565842
         6         0             1.19871          0.00586274
         6         0             1.10049          0.00608704
         6         0             1.01716          0.00623836
         6         0            0.945551          0.00630665
         6         0            0.883365          0.00641955
         6         0            0.828854          0.00662072
         6         0            0.780679          0.00678022
         6         0            0.737797          0.00683568
         6         0             0.69938          0.00690088
         6         0            0.664766          0.00703308
         6         0            0.633417            0.007195
         6         0            0.604891          0.00736412
         6         0            0.578824          0.00746041
         6         1             3.42233          0.00451275
         6         1             2.77232          0.00465046
         6         1             2.32981          0.00492588
         6         1             2.00912          0.00532601
         6         1             1.76603          0.00568826
         6         1             1.57542          0.00596378
         6         1             1.42194          0.00617677
         6         1             1.29572          0.00639585
         6         1             1.19007          0.00662371
         6         1             1.10036          0.00684247
         6         1             1.02322          0.00704644
         6         1            0.956189          0.00721298
         6         1            0.897401          0.00732995
         6         1            0.845423          0.00746714
         6         1            0.799136           0.0076731
         6         1            0.757655           0.0078396
         6         1            0.720268          0.00789876
         6         1            0.686397          0.00800628
         6         1            0.655568          0.00822584
         6         1             0.62739           0.0083659
         6         2              3.3275           0.0038831
         6         2             2.72664          0.00400962
         6         2             2.30959          0.00426266
         6         2             2.00319          0.00464222
         6         2             1.76857          0.00508407
         6         2             1.58314          0.00550964
         6         2             1.43291           0.0059173
         6         2             1.30872          0.00625985
         6         2             1.20434          0.00651456
         6         2             1.11538          0.00673772
         6         2             1.03865          0.00702708
         6         2            0.971808          0.00732882
         6         2            0.913046          0.00749357
         6         2            0.860984          0.00758945
         6         2             0.81454           0.0078123
         6         2             0.77285          0.00805262
         6         2            0.735219          0.00809946
         6         2            0.701083          0.00815019
         6         2            0.669976           0.0083802
         6         2            0.641513          0.00854616
         6         3             3.53396          0.00444144
         6         3             2.85172          0.00459604
         6         3             2.39027          0.00490524
         6         3             2.05735           0.0053568
         6         3             1.80584          0.00579091
         6         3             1.60912          0.00615826
         6         3             1.45105          0.00644711
         6         3             1.32126          0.00663372
         6         3             1.21278          0.00673728
         6         3             1.12077          0.00686018
         6         3             1.04173          0.00701096
         6         3            0.973102          0.00713312
         6         3            0.912959          0.00721438
         6         3            0.859818          0.00727651
         6         3            0.812523           0.0073295
         6         3             0.77016          0.00741933
         6         3            0.731995          0.00755416
         6         3            0.697434          0.00765454
         6         3             0.66599          0.00770052
         6         3            0.637258          0.00772023
         7         0             4.16706           0.0043098
         7         0             3.23681          0.00442196
         7         0             2.64609          0.00464627
         7         0             2.23771          0.00497929
         7         0             1.93853          0.00533918
         7         0             1.70992          0.00569131
         7         0             1.52954          0.00602426
         7         0             1.38358          0.00628303
         7         0             1.26306          0.00646266
         7         0             1.16185          0.00664664
         7         0             1.07565          0.00687738
         7         0             1.00136          0.00710593
         7         0            0.936675          0.00728459
         7         0            0.879836          0.00742625
         7         0              0.8295           0.0075461
         7         0            0.784613          0.00768334
         7         0            0.744334          0.00787574
         7         0            0.707989          0.00804864
         7         0            0.675027           0.0081549
         7         0            0.644999          0.00820598
         7         1               3.875          0.00435015
         7         1             3.08482          0.00445733
         7         1             2.56231          0.00467168
         7         1             2.19118          0.00499174
         7         1             1.91395          0.00535287
         7         1             1.69899          0.00572037
         7         1             1.52745            0.006086
         7         1             1.38736          0.00638642
         7         1             1.27082          0.00660859
         7         1             1.17233          0.00681986
         7         1             1.08802          0.00707436
         7         1             1.01502          0.00733298
         7         1            0.951194          0.00753486
         7         1            0.894923          0.00770091
         7         1            0.844938          0.00786882
         7         1            0.800242          0.00803006
         7         1            0.760037          0.00817219
         7         1            0.723678          0.00833118
         7         1            0.690639          0.00852997
         7         1            0.660486          0.00865242
         7         2             4.17954          0.00392864
         7         2             3.21301          0.00407083
         7         2             2.60954           0.0043552
         7         2             2.19692           0.0047753
         7         2             1.89697          0.00516415
         7         2             1.66909          0.00544843
         7         2             1.49008          0.00565126
         7         2             1.34575          0.00586936
         7         2             1.22692          0.00611047
         7         2             1.12736           0.0063096
         7         2             1.04275          0.00644061
         7         2            0.969958          0.00657402
         7         2            0.906662          0.00676294
         7         2            0.851122          0.00694019
         7         2            0.801993          0.00704268
         7         2            0.758226          0.00713087
         7         2            0.718989          0.00725546
         7         2            0.683613          0.00740655
         7         2            0.651555          0.00757304
         7         2            0.622369          0.00767089
         7         3             3.50021          0.00437386
         7         3             2.78884          0.00449773
         7         3             2.31779          0.00474546
         7         3             1.98287          0.00510397
         7         3             1.73252          0.00543012
         7         3              1.5383          0.00568458
         7         3             1.38323          0.00589074
         7         3             1.25657          0.00610827
         7         3             1.15115          0.00633711
         7         3             1.06206           0.0065457
         7         3            0.985763          0.00672557
         7         3            0.919695          0.00687276
         7         3            0.861927          0.00698577
         7         3            0.810987          0.00711978
         7         3            0.765732          0.00731085
         7         3            0.725261          0.00747092
         7         3            0.688853          0.00754625
         7         3            0.655925          0.00764816
         7         3            0.626002          0.00782154
         7         3             0.59869           0.0079298
         8         0             3.22504          0.00335463
         8         0             2.74934          0.00352819
         8         0             2.39594          0.00387531
         8         0             2.12304          0.00439599
         8         0             1.90595           0.0050742
         8         0             1.72914          0.00574714
         8         0             1.58234          0.00637239
         8         0             1.45853          0.00693831
         8         0             1.35268          0.00739613
         8         0             1.26115          0.00774758
         8         0             1.18123           0.0081009
         8         0             1.11083          0.00848823
         8         0             1.04836          0.00882133
         8         0            0.992532          0.00906888
         8         0            0.942352          0.00925789
         8         0            0.897002          0.00940527
         8         0            0.855817          0.00955405
         8         0            0.818247            0.009717
         8         0            0.783837          0.00990569
         8         0            0.752205           0.0100262
         8         1             4.67638          0.00673441
         8         1             4.00134          0.00725429
         8         1             3.49659          0.00829406
         8         1             3.10493          0.00981958
         8         1             2.79217           0.0109739
         8         1             2.53665           0.0113849
         8         1             2.32398           0.0114277
         8         1             2.14421           0.0116047
         8         1             1.99026           0.0118287
         8         1             1.85693           0.0118868
         8         1             1.74034            0.011845
         8         1             1.63753           0.0119531
         8         1             1.54619           0.0121752
         8         1              1.4645           0.0122745
         8         1             1.39101           0.0122516
         8         1             1.32454            0.012236
         8         1             1.26413           0.0122465
         8         1               1.209           0.0122924
         8         1             1.15847           0.0123647
         8         1               1.112           0.0124054
         8         2             4.94335          0.00365179
         8         2             3.79035          0.00383731
         8         2             3.07348          0.00420836
         8         2             2.58465          0.00476493
