      *tel    numcsi         Z         A     -dE/dx (MeV/um)               Leff
         3         0         1         1          0.00122129             4.03039
         3         0         1         1           0.0011766             3.95752
         3         0         1         1          0.00113674             3.88582
         3         0         1         1          0.00110094             3.81589
         3         0         1         1          0.00106864             3.74707
         3         1         1         1           0.0104514             5.95008
         3         1         1         1          0.00613537             5.47787
         3         1         1         1          0.00443344             5.17563
         3         1         1         1          0.00352535             4.98424
         3         1         1         1          0.00295875             4.84898
         3         1         1         1          0.00257042             4.74462
         3         1         1         1           0.0022871             4.65885
         3         1         1         1          0.00207096             4.58485
         3         1         1         1          0.00190046             4.51962
         3         1         1         1          0.00176243             4.45922
         3         1         1         1          0.00164833             4.40491
         3         1         1         1           0.0015524             4.35368
         3         1         1         1          0.00147058             4.30407
         3         1         1         1          0.00139996             4.25643
         3         1         1         1          0.00133839              4.2123
         3         1         1         1          0.00128422             4.16895
         3         1         1         1          0.00123618             4.12664
         3         1         1         1           0.0011933             4.08461
         3         1         1         1          0.00115478             4.04417
         3         1         1         1          0.00111999             4.00391
         3         2         1         1          0.00871006             4.23939
         3         2         1         1          0.00501851             3.87581
         3         2         1         1          0.00362446             3.63308
         3         2         1         1          0.00288956             3.44365
         3         2         1         1          0.00243365             3.28242
         3         2         1         1          0.00212231             3.13901
         3         2         1         1          0.00189574             3.00828
         3         2         1         1          0.00172326             2.88736
         3         2         1         1          0.00158743              2.7751
         3         2         1         1          0.00147764             2.67001
         3         2         1         1            0.001387             2.57155
         3         2         1         1           0.0013109             2.47791
         3         2         1         1          0.00124609              2.3893
         3         2         1         1          0.00119022             2.30528
         3         2         1         1          0.00114156             2.22522
         3         2         1         1          0.00109881              2.1491
         3         2         1         1          0.00106094             2.07622
         3         2         1         1          0.00102718             2.00693
         3         2         1         1           0.0009969             1.94044
         3         2         1         1         0.000969586             1.87677
         3         3         1         1           0.0101022             6.01331
         3         3         1         1          0.00564366             5.48306
         3         3         1         1          0.00401264             5.22434
         3         3         1         1          0.00317029             5.03463
         3         3         1         1          0.00265371             4.87198
         3         3         1         1          0.00230347             4.72458
         3         3         1         1          0.00204985             4.58726
         3         3         1         1          0.00185745             4.45796
         3         3         1         1          0.00170634             4.33407
         3         3         1         1          0.00158442             4.21687
         3         3         1         1          0.00148395              4.1045
         3         3         1         1          0.00139968             3.99598
         3         3         1         1          0.00132798             3.89206
         3         3         1         1          0.00126623             3.79178
         3         3         1         1          0.00121246             3.69462
         3         3         1         1          0.00116524             3.60084
         3         3         1         1          0.00112344             3.50985
         3         3         1         1          0.00108618             3.42159
         3         3         1         1          0.00105275             3.33621
         3         3         1         1          0.00102261              3.2537
         4         0         1         1           0.0107867             7.18711
         4         0         1         1          0.00597196             6.60572
         4         0         1         1          0.00423702             6.34959
         4         0         1         1          0.00334146             6.17726
         4         0         1         1          0.00279255             6.03496
         4         0         1         1          0.00242053             5.90728
         4         0         1         1          0.00215121              5.7885
         4         0         1         1          0.00194692              5.6751
         4         0         1         1          0.00178648             5.56643
         4         0         1         1          0.00165705             5.46116
         4         0         1         1          0.00155037             5.35954
         4         0         1         1          0.00146089             5.25996
         4         0         1         1          0.00138474             5.16352
         4         0         1         1          0.00131915             5.06908
         4         0         1         1          0.00126205             4.97639
         4         0         1         1          0.00121188             4.88609
         4         0         1         1          0.00116746              4.7985
         4         0         1         1          0.00112785             4.71153
         4         0         1         1          0.00109232             4.62579
         4         0         1         1          0.00106026             4.54259
         4         1         1         1           0.0108982             7.71064
         4         1         1         1          0.00626611             7.02818
         4         1         1         1          0.00449985             6.72398
         4         1         1         1          0.00356648             6.57527
         4         1         1         1          0.00298725             6.48802
         4         1         1         1          0.00259165             6.43046
         4         1         1         1          0.00230372             6.38884
         4         1         1         1          0.00208444             6.35598
         4         1         1         1          0.00191171             6.32896
         4         1         1         1          0.00177202             6.30515
         4         1         1         1          0.00165664             6.28464
         4         1         1         1           0.0015597             6.26471
         4         1         1         1          0.00147708             6.24404
         4         1         1         1           0.0014058             6.22545
         4         1         1         1          0.00134368             6.20853
         4         1         1         1          0.00128904             6.19033
         4         1         1         1          0.00124061             6.17209
         4         1         1         1          0.00119739             6.15292
         4         1         1         1          0.00115857             6.13458
         4         1         1         1          0.00112352             6.11517
         4         2         1         1           0.0100793             7.12654
         4         2         1         1          0.00563116             6.32295
         4         2         1         1          0.00400403             5.92221
         4         2         1         1          0.00316369             5.66034
         4         2         1         1          0.00264834             5.45191
         4         2         1         1          0.00229893             5.27065
         4         2         1         1          0.00204592             5.10552
         4         2         1         1          0.00185398              4.9521
         4         2         1         1          0.00170322              4.8063
         4         2         1         1           0.0015816             4.66881
         4         2         1         1          0.00148137             4.53732
         4         2         1         1           0.0013973             4.41109
         4         2         1         1          0.00132577              4.2899
         4         2         1         1          0.00126417             4.17358
         4         2         1         1          0.00121053              4.0611
         4         2         1         1          0.00116343             3.95269
         4         2         1         1          0.00112173             3.84773
         4         2         1         1          0.00108456              3.7457
