 *tel    csi      Z      A           Jerzy's Formula                   Par0             Par1        Par2       Par3
    6      3      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00582409  0.00559276       43.47     34.2581
    6      3      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00582409  0.00559276       43.47     34.2581
    6      3      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00582409  0.00559276       43.47     34.2581
    7      0      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00883472  0.00611804     11.5399     8.06584
    7      0      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00883472  0.00611804     11.5399     8.06584
    7      0      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00883472  0.00611804     11.5399     8.06584
    7      1      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00548689  0.00593204     45.5614     34.0712
    7      1      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00548689  0.00593204     45.5614     34.0712
    7      1      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00548689  0.00593204     45.5614     34.0712
    7      2      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00500129  0.00592293     34.6955     26.4717
    7      2      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00500129  0.00592293     34.6955     26.4717
    7      2      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00500129  0.00592293     34.6955     26.4717
    7      3      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00765056  0.00585397     31.2819     22.4421
    7      3      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00765056  0.00585397     31.2819     22.4421
    7      3      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00765056  0.00585397     31.2819     22.4421
    8      0      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00483477  0.00579229     20.7436     16.9656
    8      0      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00483477  0.00579229     20.7436     16.9656
    8      0      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00483477  0.00579229     20.7436     16.9656
    8      1      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00320963  0.00544622     107.869     82.5345
    8      1      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00320963  0.00544622     107.869     82.5345
    8      1      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00320963  0.00544622     107.869     82.5345
    8      2      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00363439  0.00544205     120.101      94.793
    8      2      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00363439  0.00544205     120.101      94.793
    8      2      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00363439  0.00544205     120.101      94.793
    8      3      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)        0.0021489  0.00563413     35.2365     28.6057
    8      3      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)        0.0021489  0.00563413     35.2365     28.6057
    8      3      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)        0.0021489  0.00563413     35.2365     28.6057
    9      0      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0139559  0.00522285     59.2797     42.1638
    9      0      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0139559  0.00522285     59.2797     42.1638
    9      0      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0139559  0.00522285     59.2797     42.1638
    9      1      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)     -0.000542972  0.00558105     11.5133     8.69254
    9      1      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)     -0.000542972  0.00558105     11.5133     8.69254
    9      1      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)     -0.000542972  0.00558105     11.5133     8.69254
    9      2      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00273103  0.00547387     91.0166     72.1168
    9      2      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00273103  0.00547387     91.0166     72.1168
    9      2      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      -0.00273103  0.00547387     91.0166     72.1168
    9      3      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      0.000299534  0.00597812     73.8284      61.362
    9      3      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      0.000299534  0.00597812     73.8284      61.362
    9      3      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)      0.000299534  0.00597812     73.8284      61.362
   10      0      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00133054  0.00612186     8.60017     6.25207
   10      0      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00133054  0.00612186     8.60017     6.25207
   10      0      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00133054  0.00612186     8.60017     6.25207
   10      1      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00220373  0.00611452     35.0936     27.4835
   10      1      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00220373  0.00611452     35.0936     27.4835
   10      1      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00220373  0.00611452     35.0936     27.4835
   10      2      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0155615  0.00596113     73.3755     49.8511
   10      2      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0155615  0.00596113     73.3755     49.8511
   10      2      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       -0.0155615  0.00596113     73.3755     49.8511
   10      3      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00624626  0.00561062     55.0454     43.5934
   10      3      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00624626  0.00561062     55.0454     43.5934
   10      3      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00624626  0.00561062     55.0454     43.5934
   11      0      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00522042  0.00601397     7.16906     5.64594
   11      0      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00522042  0.00601397     7.16906     5.64594
   11      0      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00522042  0.00601397     7.16906     5.64594
   11      1      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)        0.0048906  0.00605498     8.79019     6.79076
   11      1      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)        0.0048906  0.00605498     8.79019     6.79076
   11      1      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)        0.0048906  0.00605498     8.79019     6.79076
   11      2      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00204941  0.00573883     88.3274     72.7316
   11      2      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00204941  0.00573883     88.3274     72.7316
   11      2      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00204941  0.00573883     88.3274     72.7316
   11      3      1      1  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00374171  0.00605182     98.5582     86.0311
   11      3      1      2  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00374171  0.00605182     98.5582     86.0311
   11      3      1      3  [0]+[1].(pow(x,2)+[2].A.x)/(x+[3].A)       0.00374171  0.00605182     98.5582     86.0311
