 *tel    csi      Z      A           Jerzy's Formula                 NumParPar0             Par1        Par2       Par3
    4      3      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  -0.000695996  0.00755866      1.6574   1.76434
    4      3      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  -0.000695996  0.00755866      1.6574   1.76434
    4      3      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  -0.000695996  0.00755866      1.6574   1.76434
    5      0      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  -0.00172638  0.00724679    0.614207  0.664956
    5      0      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  -0.00172638  0.00724679    0.614207  0.664956
    5      0      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  -0.00172638  0.00724679    0.614207  0.664956
    5      1      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.000513672  0.00877583     1.96991   2.10443
    5      1      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.000513672  0.00877583     1.96991   2.10443
    5      1      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.000513672  0.00877583     1.96991   2.10443
    5      2      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00186689  0.00925457     1.99177    2.1213
    5      2      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.00186689  0.00925457     1.99177    2.1213
    5      2      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00186689  0.00925457     1.99177    2.1213
    5      3      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00827729   0.0108832     1.51271   1.51275
    5      3      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.00827729   0.0108832     1.51271   1.51275
    5      3      1      3  [0]+[1].(pow(x,2)+[2].3.x)/(x+[3].3)                4  0.00827729   0.0108832     1.51271   1.51275
    6      0      1      1  [0]+[1].(pow(x,2)+[2].1.x)/(x+[3].1)                4  0.00166626  0.00703417     1.66472   1.77443
    6      0      1      2  [0]+[1].(pow(x,2)+[2].2.x)/(x+[3].2)                4  0.00166626  0.00703417     1.66472   1.77443
