 *tel  csi     Z    A     CsICh  errCsICh     CsIV         errCsIV             CsIE        errCsIE            ESi        errESi
    5    0    1    1       589       0.5       0.515954     0.00515954          83.5801       0.835801        2.35542      0.0235542
    5    0    1    1       594       0.5        0.52091      0.0052091            84.46         0.8446        2.33747      0.0233747
    5    0    1    1       599       0.5       0.525856     0.00525856          85.3413       0.853413        2.31982      0.0231982
    5    0    1    1       604       0.5       0.530789     0.00530789           86.224        0.86224        2.30248      0.0230248
    5    0    1    1       609       0.5       0.535707     0.00535707          87.1082       0.871082        2.28544      0.0228544
    5    0    1    1       614       0.5       0.540609     0.00540609          87.9937       0.879937        2.26868      0.0226868
    5    0    1    1       619       0.5       0.545492     0.00545492          88.8806       0.888806         2.2522       0.022522
    5    0    1    1       624       0.5       0.550359     0.00550359          89.7688       0.897688        2.23599      0.0223599
    5    0    1    1       629       0.5       0.555214     0.00555214          90.6583       0.906583        2.22004      0.0222004
    5    0    1    1       634       0.5       0.560061     0.00560061          91.5491       0.915491        2.20436      0.0220436
    5    0    1    1       639       0.5       0.564906     0.00564906          92.4412       0.924412        2.18893      0.0218893
    5    0    1    1       644       0.5        0.56975      0.0056975          93.3348       0.933348        2.17374      0.0217374
    5    0    1    1       649       0.5         0.5746       0.005746          94.2297       0.942297         2.1588       0.021588
    5    0    1    1       654       0.5       0.579458     0.00579458           95.126        0.95126        2.14409      0.0214409
    5    0    1    1       659       0.5       0.584328     0.00584328          96.0238       0.960238        2.12961      0.0212961
    5    0    1    1       664       0.5       0.589216     0.00589216           96.923        0.96923        2.11536      0.0211536
    5    0    1    1       669       0.5       0.594124     0.00594124          97.8235       0.978235        2.10132      0.0210132
    5    0    1    1       674       0.5       0.599051     0.00599051          98.7255       0.987255         2.0875       0.020875
    5    0    1    1       679       0.5       0.603995     0.00603995          99.6289       0.996289        2.07389      0.0207389
    5    0    1    1       684       0.5       0.608951     0.00608951          100.534        1.00534        2.06049      0.0206049
    5    0    1    1       689       0.5       0.613918     0.00613918           101.44         1.0144        2.04728      0.0204728
    5    0    1    1       694       0.5       0.618892     0.00618892          102.347        1.02347        2.03427      0.0203427
    5    0    1    1       699       0.5        0.62387      0.0062387          103.256        1.03256        2.02145      0.0202145
    5    0    1    1       704       0.5        0.62885      0.0062885          104.166        1.04166        2.00882      0.0200882
    5    0    1    1       709       0.5       0.633828     0.00633828          105.077        1.05077        1.99637      0.0199637
    5    0    1    1       714       0.5       0.638801     0.00638801           105.99         1.0599         1.9841       0.019841
    5    0    1    1       719       0.5       0.643768     0.00643768          106.905        1.06905          1.972        0.01972
    5    0    1    1       724       0.5       0.648728     0.00648728          107.821        1.07821        1.96008      0.0196008
    5    0    1    1       729       0.5       0.653684     0.00653684          108.738        1.08738        1.94832      0.0194832
    5    0    1    1       734       0.5       0.658637     0.00658637          109.657        1.09657        1.93673      0.0193673
    5    0    1    1       739       0.5       0.663589     0.00663589          110.577        1.10577         1.9253       0.019253
    5    0    1    1       744       0.5       0.668542     0.00668542          111.499        1.11499        1.91403      0.0191403
    5    0    1    1       749       0.5       0.673498     0.00673498          112.422        1.12422        1.90291      0.0190291
    5    0    1    1       754       0.5       0.678458     0.00678458          113.346        1.13346        1.89194      0.0189194
    5    0    1    1       759       0.5       0.683424     0.00683424          114.272        1.14272        1.88113      0.0188113
    5    0    1    1       764       0.5       0.688398     0.00688398          115.199        1.15199        1.87045      0.0187045
    5    0    1    1       769       0.5       0.693381     0.00693381          116.128        1.16128        1.85992      0.0185992
    5    0    1    1       774       0.5       0.698369     0.00698369          117.058        1.17058        1.84953      0.0184953
    5    0    1    1       779       0.5       0.703359     0.00703359          117.989        1.17989        1.83927      0.0183927
    5    0    1    1       784       0.5       0.708349     0.00708349          118.922        1.18922        1.82915      0.0182915
    5    0    1    1       789       0.5       0.713334     0.00713334          119.856        1.19856        1.81916      0.0181916
    5    0    1    1       794       0.5       0.718312     0.00718312          120.792        1.20792         1.8093       0.018093
    5    0    1    1       799       0.5       0.723278     0.00723278          121.729        1.21729        1.79956      0.0179956
    5    0    1    1       804       0.5       0.728231     0.00728231          122.668        1.22668        1.78995      0.0178995
    5    0    1    1       809       0.5       0.733165     0.00733165          123.608        1.23608        1.78046      0.0178046
    5    0    1    1       814       0.5       0.738079     0.00738079          124.549        1.24549        1.77109      0.0177109
    5    0    1    1       819       0.5       0.742971     0.00742971          125.492        1.25492        1.76184      0.0176184
    5    0    1    1       824       0.5       0.747844     0.00747844          126.437        1.26437         1.7527       0.017527
    5    0    1    1       829       0.5       0.752703     0.00752703          127.383        1.27383        1.74368      0.0174368
    5    0    1    1       834       0.5       0.757553     0.00757553          128.331        1.28331        1.73476      0.0173476
    5    0    1    1       839       0.5       0.762397     0.00762397          129.279        1.29279        1.72595      0.0172595
    5    0    1    1       844       0.5        0.76724      0.0076724           130.23         1.3023        1.71726      0.0171726
    5    0    1    1       849       0.5       0.772086     0.00772086          131.181        1.31181        1.70866      0.0170866
    5    0    1    1       854       0.5       0.776939     0.00776939          132.134        1.32134        1.70017      0.0170017
    5    0    1    1       859       0.5       0.781804     0.00781804          133.089        1.33089        1.69178      0.0169178
    5    0    1    1       864       0.5       0.786684     0.00786684          134.045        1.34045        1.68348      0.0168348
    5    0    1    1       869       0.5       0.791584     0.00791584          135.003        1.35003        1.67529      0.0167529
    5    0    1    1       874       0.5       0.796501     0.00796501          135.962        1.35962        1.66719      0.0166719
    5    0    1    1       879       0.5       0.801432     0.00801432          136.922        1.36922        1.65918      0.0165918
    5    0    1    1       884       0.5       0.806377     0.00806377          137.885        1.37885        1.65127      0.0165127
    5    0    1    1       889       0.5       0.811332     0.00811332          138.849        1.38849        1.64345      0.0164345
    5    0    1    1       894       0.5       0.816296     0.00816296          139.814        1.39814        1.63572      0.0163572
    5    0    1    1       899       0.5       0.821266     0.00821266          140.781        1.40781        1.62807      0.0162807
    5    0    1    1       904       0.5       0.826241     0.00826241          141.749        1.41749        1.62051      0.0162051
    5    0    1    1       909       0.5       0.831218     0.00831218          142.719        1.42719        1.61304      0.0161304
    5    0    1    1       914       0.5       0.836194     0.00836194           143.69         1.4369        1.60565      0.0160565
    5    0    1    1       919       0.5        0.84117      0.0084117          144.663        1.44663        1.59834      0.0159834
    5    0    1    1       924       0.5       0.846145     0.00846145          145.637        1.45637        1.59111      0.0159111
    5    0    1    1       929       0.5       0.851119     0.00851119          146.613        1.46613        1.58396      0.0158396
    5    0    1    1       934       0.5       0.856095     0.00856095          147.591        1.47591        1.57689      0.0157689
    5    0    1    1       939       0.5       0.861071     0.00861071           148.57         1.4857        1.56989      0.0156989
    5    0    1    1       944       0.5        0.86605      0.0086605           149.55         1.4955        1.56298      0.0156298
    5    0    1    1       949       0.5       0.871031     0.00871031          150.532        1.50532        1.55613      0.0155613
    5    0    1    1       954       0.5       0.876016     0.00876016          151.516        1.51516        1.54936      0.0154936
    5    0    1    1       959       0.5       0.881004     0.00881004          152.502        1.52502        1.54266      0.0154266
    5    0    1    1       964       0.5       0.885998     0.00885998          153.489        1.53489        1.53603      0.0153603
    5    0    1    1       969       0.5       0.890996     0.00890996          154.477        1.54477        1.52947      0.0152947
    5    0    1    1       974       0.5       0.895995     0.00895995          155.467        1.55467        1.52298      0.0152298
    5    0    1    1       979       0.5       0.900994     0.00900994          156.458        1.56458        1.51655      0.0151655
    5    0    1    1       984       0.5       0.905989     0.00905989          157.451        1.57451         1.5102       0.015102
