 *tel    numcsi      CsIV        errCsIV           CsIE       errCsIE
    2         3        1.23264              0        175.723              0
    2         3        1.32369              0        187.805              0
    2         3        1.41639              0        199.948              0
    2         3        1.50343              0        211.288              0
    2         3         1.5994              0        223.572              0
    2         3        1.69594              0        235.938              0
    2         3        1.78617              0        247.496              0
    3         0      0.0262482              0        7.30303              0
    3         0      0.0984064              0        17.8782              0
    3         0        0.16746              0        27.4665              0
    3         0       0.242974              0        37.7966              0
    3         0       0.319718              0        48.0786              0
    3         0       0.389238              0        57.5613              0
    3         0       0.466244              0         67.824              0
    3         0       0.541703              0        78.0736              0
    3         0       0.612394              0        87.5252              0
    3         0       0.688357              0        97.7586              0
    3         0       0.764619              0        107.992              0
    3         0        0.83512              0        117.445              0
    3         0       0.911725              0        127.698              0
    3         0       0.989103              0        137.971              0
    3         0        1.06031              0        147.476              0
    3         0         1.1395              0        157.802              0
    3         0        1.21955              0        168.166              0
    3         0        1.29391              0        177.769              0
    3         0        1.37108              0         187.41              0
    3         0        1.45447              0        197.902              0
    3         0        1.53205              0        207.635              0
    3         0        1.61101              0        217.418              0
    3         1      0.0336156              0        7.89351              0
    3         1        0.10412              0        18.0184              0
    3         1       0.171094              0        27.7291              0
    3         1       0.244828              0        37.8262              0
    3         1       0.322121              0        48.2712              0
    3         1       0.395694              0        57.9053              0
    3         1       0.473944              0        68.1002              0
    3         1       0.551381              0        78.2669              0
    3         1       0.625737              0        87.8063              0
    3         1        0.70329              0         98.015              0
    3         1       0.781409              0        108.276              0
    3         1       0.855507              0        117.955              0
    3         1       0.928816              0        127.699              0
    3         1        1.00829              0         138.17              0
    3         1        1.08365              0        148.066              0
    3         1        1.15922              0        158.042              0
    3         1        1.23739              0        168.101              0
    3         1         1.3161              0        178.248              0
    3         1        1.38996              0        187.798              0
    3         1        1.47065              0        198.118              0
    3         1        1.54739              0        207.835              0
    3         2      0.0249064              0        8.70307              0
    3         2      0.0801424              0         19.799              0
    3         2       0.136838              0        31.2251              0
    3         2       0.190473              0        41.6908              0
    3         2       0.251979              0        53.3047              0
    3         2       0.308656              0        64.1314              0
    3         2       0.366909              0        74.9151              0
    3         2       0.424105              0        85.6935              0
    3         2       0.485625              0        97.1697              0
    3         2        0.54243              0        108.014              0
    3         2       0.600743              0        118.916              0
    3         2       0.658262              0        129.885              0
    3         2       0.715806              0        140.932              0
    3         2       0.772999              0        152.064              0
    3         2        0.83083              0        163.288              0
    3         2       0.885677              0          173.9              0
    3         2        0.93945              0        184.602              0
    3         2       0.998172              0        196.121              0
    3         2        1.05281              0        207.021              0
    3         2        1.10929              0        218.024              0
    3         2        1.16511              0         229.13              0
    3         3       0.022973              0        6.79193              0
    3         3        0.10842              0        19.0468              0
    3         3       0.189157              0        30.5117              0
    3         3       0.276708              0        42.6235              0
    3         3       0.365641              0         54.537              0
    3         3         0.4603              0        67.1195              0
    3         3       0.548343              0        78.8394              0
    3         3       0.636667              0        90.5184              0
    3         3       0.731928              0        102.961              0
    3         3       0.819978              0        114.634              0
    3         3       0.914954              0        127.114              0
    3         3         1.0048              0        138.858              0
    3         3        1.09582              0        150.656              0
    3         3        1.18775              0        162.518              0
    3         3        1.28154              0        174.455              0
    3         3        1.37847              0        186.474              0
    3         3        1.47604              0        198.581              0
    3         3        1.57489              0        210.784              0
    3         3        1.67482              0        223.089              0
    3         3        1.76916              0         234.67              0
    3         3        1.86386              0        246.347              0
    3         3        1.96583              0        258.972              0
    4         0      0.0151447              0        5.37622              0
    4         0      0.0895559              0        17.5968              0
    4         0       0.172921              0        30.0214              0
    4         0       0.250924              0        41.4345              0
    4         0        0.33408              0        53.4777              0
