 *tel    numcsi           CsIV        errCsIV           CsIE       errCsIE
    9         0       0.322514              0        50.5907              0
    9         0       0.385587              0        60.6321              0
    9         0       0.447509              0        70.7669              0
    9         0       0.507172              0        80.4377              0
    9         1      0.0415988              0        5.83517              0
    9         1      0.0901538              0        13.5595              0
    9         1       0.138709              0        21.4371              0
    9         1       0.194816              0        30.5944              0
    9         1       0.258232              0        40.8482              0
    9         1       0.317548              0        50.6305              0
    9         1       0.377027              0        60.5217              0
    9         1       0.437081              0         70.527              0
    9         1       0.497213              0        80.6454              0
    9         2      0.0368158              0        5.70843              0
    9         2      0.0907242              0        13.5674              0
    9         2       0.144633              0        21.5295              0
    9         2       0.203314              0        30.6668              0
    9         2       0.269671              0        40.7954              0
    9         2       0.332193              0        50.4628              0
    9         2       0.398358              0        60.7684              0
    9         2       0.460652              0        70.6419              0
    9         2       0.522797              0        80.6302              0
    9         3      0.0437676              0        5.93535              0
    9         3      0.0982821              0        13.7179              0
    9         3       0.152739              0        21.5533              0
    9         3        0.21491              0         30.613              0
    9         3       0.285383              0        40.7112              0
    9         3       0.355735              0        50.8764              0
    9         3       0.422692              0         60.562              0
    9         3       0.492194              0        70.9232              0
    9         3       0.559115              0        80.8167              0
   10         0      0.0461511              0        5.51497              0
   10         0       0.102485              0        13.8592              0
   10         0        0.15485              0        21.8297              0
   10         0        0.21151              0        30.4785              0
   10         0       0.281295              0        40.7846              0
   10         0       0.346639              0        50.4688              0
   10         0        0.41612              0        60.7855              0
   10         0       0.481638              0        70.5494              0
   10         0       0.547157              0        80.3838              0
   10         1      0.0484157              0        5.85651              0
   10         1        0.10557              0        13.6575              0
   10         1       0.162686              0        21.6908              0
   10         1       0.228436              0        30.8979              0
   10         1       0.298162              0        40.5522              0
   10         1       0.370305              0        50.7874              0
   10         1       0.440164              0        60.5935              0
   10         1       0.509873              0        70.4883              0
   10         1       0.578716              0        80.4744              0
   10         2       0.032224              0        5.64213              0
   10         2       0.101793              0        13.5991              0
   10         2       0.169327              0        21.5812              0
   10         2       0.238704              0        30.8274              0
   10         2       0.313192              0        40.6024              0
   10         2       0.387761              0        50.4802              0
   10         2       0.462079              0        60.4731              0
   10         2       0.536233              0        70.5836              0
   10         2        0.61103              0        80.8088              0
   10         3      0.0473849              0        5.66947              0
   10         3        0.10198              0        13.6679              0
   10         3       0.156499              0        21.9788              0
   10         3       0.216626              0        30.9957              0
   10         3       0.279585              0        40.4721              0
   10         3       0.346981              0        50.5342              0
   10         3       0.414708              0        60.6519              0
   10         3       0.481698              0        70.8469              0
   10         3       0.545428              0        80.5599              0
   11         0      0.0476603              0        5.75967              0
   11         0      0.0998999              0        13.9397              0
   11         0       0.148657              0        21.6364              0
   11         0        0.20432              0        30.4876              0
   11         0       0.273032              0         40.836              0
   11         0       0.337778              0          50.66              0
   11         0       0.402434              0         60.538              0
   11         0       0.466558              0        70.4912              0
   11         0       0.531623              0        80.5315              0
   11         1      0.0478846              0        5.75656              0
   11         1       0.102413              0        13.7503              0
   11         1       0.154069              0        21.7025              0
   11         1       0.212532              0        30.7463              0
   11         1        0.27658              0        40.6245              0
   11         1       0.341353              0        50.5501              0
   11         1       0.409206              0        60.9844              0
   11         1       0.470571              0        70.5681              0
   11         1       0.535363              0        80.6679              0
   11         2      0.0453152              0         5.9439              0
   11         2      0.0963383              0        13.5433              0
   11         2        0.15055              0        21.7062              0
   11         2       0.211782              0        30.9372              0
   11         2       0.276451              0        40.5347              0
   11         2       0.343557              0        50.6214              0
   11         2       0.411607              0        60.7363              0
   11         2       0.479874              0        70.8953              0
   11         2       0.544808              0         80.622              0
   11         3      0.0431297              0        5.82668              0
   11         3      0.0965633              0        13.5643              0
   11         3       0.153559              0        21.8206              0
   11         3       0.214593              0        30.8197              0
   11         3       0.284868              0        40.9013              0
   11         3       0.349343              0        50.5649              0
   11         3       0.418899              0        60.8599              0
   11         3       0.484661              0         70.686              0
   11         3       0.550464              0        80.5706              0
