      *tel    numcsi         Z         A               AZ2/E               Leff
         4         2         1         1          0.00984834           0.0070822
         4         2         1         1          0.00893583          0.00693395
         4         2         1         1          0.00817808          0.00678465
         4         2         1         1           0.0075388          0.00663268
         4         2         1         1          0.00699222          0.00647933
         4         2         1         1          0.00651953          0.00632884
         4         2         1         1          0.00610671          0.00618839
         4         2         1         1          0.00574306           0.0060681
         4         2         1         1          0.00542028          0.00598104
         4         2         1         1          0.00513185          0.00594321
         4         2         1         1          0.00487257          0.00597355
         4         3         1         1            0.119677          0.00956913
         4         3         1         1           0.0539281          0.00892323
         4         3         1         1           0.0348061          0.00843439
         4         3         1         1           0.0256951          0.00807106
         4         3         1         1           0.0203644           0.0078051
         4         3         1         1           0.0168655          0.00761168
         4         3         1         1           0.0143926          0.00746937
         4         3         1         1           0.0125522           0.0073601
         4         3         1         1            0.011129          0.00726916
         4         3         1         1          0.00999577           0.0071852
         4         3         1         1          0.00907196          0.00710024
         4         3         1         1          0.00830447          0.00700966
         4         3         1         1           0.0076567          0.00691221
         4         3         1         1          0.00710268          0.00680999
         4         3         1         1          0.00662342           0.0067085
         4         3         1         1          0.00620475          0.00661655
         4         3         1         1          0.00583587          0.00654636
         4         3         1         1          0.00550838           0.0065135
         4         3         1         1           0.0052157           0.0065369
         4         3         1         1          0.00495255          0.00663885
         5         0         1         1            0.115923          0.00935704
         5         0         1         1           0.0524164          0.00887097
         5         0         1         1           0.0338644          0.00849082
         5         0         1         1           0.0250118          0.00819469
         5         0         1         1           0.0198284          0.00796311
         5         0         1         1           0.0164246          0.00777904
         5         0         1         1           0.0140182          0.00762792
         5         0         1         1           0.0122268          0.00749762
         5         0         1         1           0.0108414          0.00737843
         5         0         1         1            0.009738          0.00726313
         5         0         1         1          0.00883844          0.00714691
         5         0         1         1          0.00809103          0.00702743
         5         0         1         1          0.00746017          0.00690476
         5         0         1         1          0.00692057          0.00678146
         5         0         1         1          0.00645376          0.00666251
         5         0         1         1          0.00604595          0.00655532
         5         0         1         1          0.00568662          0.00646979
         5         0         1         1           0.0053676          0.00641821
         5         0         1         1          0.00508247          0.00641536
         5         0         1         1          0.00482611          0.00647845
         5         1         1         1            0.119265           0.0111487
         5         1         1         1           0.0500804           0.0105689
         5         1         1         1           0.0316946           0.0100398
         5         1         1         1           0.0231834          0.00955631
         5         1         1         1           0.0182757          0.00911355
         5         1         1         1           0.0150828          0.00870726
         5         1         1         1           0.0128396           0.0083336
         5         1         1         1           0.0111773          0.00798922
         5         1         1         1          0.00989606          0.00767124
         5         1         1         1          0.00887836          0.00737726
         5         1         1         1          0.00805045          0.00710534
         5         1         1         1          0.00736378          0.00685402
         5         1         1         1          0.00678504          0.00662233
         5         1         1         1          0.00629064          0.00640975
         5         1         1         1           0.0058634          0.00621625
         5         1         1         1           0.0054905          0.00604227
