 *tel    numcsi         Z         A           CsIV        errCsIV           CsIE       errCsIE
    6         1         1         3       0.038779              0        5.92744              0
    6         1         1         3       0.114828              0        15.7933              0
    6         1         1         3       0.183861              0        25.7125              0
    6         1         1         3       0.253315              0        35.8161              0
    6         1         1         3       0.322536              0        45.9575              0
    6         1         1         3       0.386895              0        55.4564              0
    6         1         1         3       0.456716              0        65.7789              0
    6         1         1         3       0.520896              0        75.4541              0
    6         1         1         3         0.5901              0        85.9741              0
    6         1         1         3       0.654926              0        95.8377              0
    6         2         1         3      0.0385581              0        5.81824              0
    6         2         1         3       0.107506              0        15.6175              0
    6         2         1         3       0.175068              0        25.7879              0
    6         2         1         3        0.23818              0         35.536              0
    6         2         1         3       0.305916              0        45.9611              0
    6         2         1         3       0.370212              0        55.9863              0
    6         2         1         3       0.429746              0        65.5918              0
    6         2         1         3       0.493706              0        75.9808              0
    6         2         1         3       0.554089              0        85.9308              0
    6         2         1         3       0.610681              0        95.4083              0
    6         3         1         3      0.0330103              0         5.6249              0
    6         3         1         3       0.104052              0        15.5834              0
    6         3         1         3       0.170027              0        25.8153              0
    6         3         1         3       0.231064              0        35.7331              0
    6         3         1         3       0.292785              0        45.7087              0
    6         3         1         3       0.354914              0        55.7546              0
    6         3         1         3       0.416448              0        65.8578              0
    6         3         1         3         0.4741              0        75.3784              0
    6         3         1         3       0.536061              0        85.5867              0
    6         3         1         3       0.597917              0        95.8515              0
    7         0         1         3      0.0421175              0        5.94998              0
    7         0         1         3       0.113108              0        15.9691              0
    7         0         1         3       0.179782              0        25.8983              0
    7         0         1         3       0.245161              0        35.9965              0
    7         0         1         3       0.307992              0        45.5517              0
    7         0         1         3        0.37486              0        55.8077              0
    7         0         1         3       0.436626              0        65.5582              0
    7         0         1         3       0.499386              0        75.4058              0
    7         0         1         3       0.566076              0        85.9792              0
    7         0         1         3       0.624038              0        95.4063              0
    7         1         1         3       0.036754              0        5.57999              0
    7         1         1         3       0.115418              0        15.4284              0
    7         1         1         3        0.18761              0        25.5156              0
    7         1         1         3        0.25389              0        35.3334              0
    7         1         1         3       0.321559              0        45.2914              0
    7         1         1         3        0.38922              0        55.3898              0
    7         1         1         3       0.455685              0        65.6039              0
    7         1         1         3       0.523452              0        75.9213              0
    7         1         1         3       0.586182              0        85.5895              0
    7         1         1         3       0.647809              0        95.3396              0
    7         2         1         3      0.0391339              0        5.78674              0
    7         2         1         3       0.115929              0         15.947              0
    7         2         1         3       0.184316              0         25.893              0
