 *tel    csi      Z      A                          Fit Formula                                           Par0        Par1       Par2
    1      1      2      3  [0]+[1].(x-[2].3.pow(2,2).log(fabs((x+[2].3.pow(2,2))/([2].3.pow(2,2))))   -0.00693824  0.00801795    0.188282
    1      1      2      4  [0]+[1].(x-[2].4.pow(2,2).log(fabs((x+[2].4.pow(2,2))/([2].4.pow(2,2))))   -0.00693824  0.00801795    0.188282
    1      1      2      6  [0]+[1].(x-[2].6.pow(2,2).log(fabs((x+[2].6.pow(2,2))/([2].6.pow(2,2))))   -0.00693824  0.00801795    0.188282
    1      1      3      6  [0]+[1].(x-[2].6.pow(3,2).log(fabs((x+[2].6.pow(3,2))/([2].6.pow(3,2))))   -0.00693824  0.00801795    0.188282
    1      1      3      7  [0]+[1].(x-[2].7.pow(3,2).log(fabs((x+[2].7.pow(3,2))/([2].7.pow(3,2))))   -0.00693824  0.00801795    0.188282
    1      1      3      8  [0]+[1].(x-[2].8.pow(3,2).log(fabs((x+[2].8.pow(3,2))/([2].8.pow(3,2))))   -0.00693824  0.00801795    0.188282
    1      1      4      7  [0]+[1].(x-[2].7.pow(4,2).log(fabs((x+[2].7.pow(4,2))/([2].7.pow(4,2))))   -0.00693824  0.00801795    0.188282
    1      1      4      9  [0]+[1].(x-[2].9.pow(4,2).log(fabs((x+[2].9.pow(4,2))/([2].9.pow(4,2))))   -0.00693824  0.00801795    0.188282
    1      2      1      1                    [0].(pow(x,2)+[1].1.x)/(x+[2].1)                             0.005531     122.288     94.6625
    1      2      1      2                    [0].(pow(x,2)+[1].2.x)/(x+[2].2)                             0.005531     122.288     94.6625
    1      2      1      3                    [0].(pow(x,2)+[1].3.x)/(x+[2].3)                             0.005531     122.288     94.6625
    1      2      2      3  [0]+[1].(x-[2].3.pow(2,2).log(fabs((x+[2].3.pow(2,2))/([2].3.pow(2,2))))    -0.0107915   0.0080966    0.197774
    1      2      2      4  [0]+[1].(x-[2].4.pow(2,2).log(fabs((x+[2].4.pow(2,2))/([2].4.pow(2,2))))    -0.0107915   0.0080966    0.197774
    1      2      2      6  [0]+[1].(x-[2].6.pow(2,2).log(fabs((x+[2].6.pow(2,2))/([2].6.pow(2,2))))    -0.0107915   0.0080966    0.197774
    1      2      3      6  [0]+[1].(x-[2].6.pow(3,2).log(fabs((x+[2].6.pow(3,2))/([2].6.pow(3,2))))    -0.0107915   0.0080966    0.197774
    1      2      3      7  [0]+[1].(x-[2].7.pow(3,2).log(fabs((x+[2].7.pow(3,2))/([2].7.pow(3,2))))    -0.0107915   0.0080966    0.197774
    1      2      3      8  [0]+[1].(x-[2].8.pow(3,2).log(fabs((x+[2].8.pow(3,2))/([2].8.pow(3,2))))    -0.0107915   0.0080966    0.197774
    1      2      4      7  [0]+[1].(x-[2].7.pow(4,2).log(fabs((x+[2].7.pow(4,2))/([2].7.pow(4,2))))    -0.0107915   0.0080966    0.197774
    1      2      4      9  [0]+[1].(x-[2].9.pow(4,2).log(fabs((x+[2].9.pow(4,2))/([2].9.pow(4,2))))    -0.0107915   0.0080966    0.197774
    1      3      1      1                    [0].(pow(x,2)+[1].1.x)/(x+[2].1)                           0.00238581     3172.59      1157.7
    1      3      1      2                    [0].(pow(x,2)+[1].2.x)/(x+[2].2)                           0.00238581     3172.59      1157.7
    1      3      1      3                    [0].(pow(x,2)+[1].3.x)/(x+[2].3)                           0.00238581     3172.59      1157.7
    1      3      2      3  [0]+[1].(x-[2].3.pow(2,2).log(fabs((x+[2].3.pow(2,2))/([2].3.pow(2,2))))   -0.00946304  0.00771824    0.184314
    1      3      2      4  [0]+[1].(x-[2].4.pow(2,2).log(fabs((x+[2].4.pow(2,2))/([2].4.pow(2,2))))   -0.00946304  0.00771824    0.184314
    1      3      2      6  [0]+[1].(x-[2].6.pow(2,2).log(fabs((x+[2].6.pow(2,2))/([2].6.pow(2,2))))   -0.00946304  0.00771824    0.184314
    1      3      3      6  [0]+[1].(x-[2].6.pow(3,2).log(fabs((x+[2].6.pow(3,2))/([2].6.pow(3,2))))   -0.00946304  0.00771824    0.184314
    1      3      3      7  [0]+[1].(x-[2].7.pow(3,2).log(fabs((x+[2].7.pow(3,2))/([2].7.pow(3,2))))   -0.00946304  0.00771824    0.184314
    1      3      3      8  [0]+[1].(x-[2].8.pow(3,2).log(fabs((x+[2].8.pow(3,2))/([2].8.pow(3,2))))   -0.00946304  0.00771824    0.184314
    1      3      4      7  [0]+[1].(x-[2].7.pow(4,2).log(fabs((x+[2].7.pow(4,2))/([2].7.pow(4,2))))   -0.00946304  0.00771824    0.184314
    1      3      4      9  [0]+[1].(x-[2].9.pow(4,2).log(fabs((x+[2].9.pow(4,2))/([2].9.pow(4,2))))   -0.00946304  0.00771824    0.184314
    2      0      1      1                    [0].(pow(x,2)+[1].1.x)/(x+[2].1)                           0.00559401     91.8508      75.181
    2      0      1      2                    [0].(pow(x,2)+[1].2.x)/(x+[2].2)                           0.00559401     91.8508      75.181
    2      0      1      3                    [0].(pow(x,2)+[1].3.x)/(x+[2].3)                           0.00559401     91.8508      75.181
    2      0      2      3  [0]+[1].(x-[2].3.pow(2,2).log(fabs((x+[2].3.pow(2,2))/([2].3.pow(2,2))))   -0.00263589  0.00786631    0.197747
    2      0      2      4  [0]+[1].(x-[2].4.pow(2,2).log(fabs((x+[2].4.pow(2,2))/([2].4.pow(2,2))))   -0.00263589  0.00786631    0.197747
    2      0      2      6  [0]+[1].(x-[2].6.pow(2,2).log(fabs((x+[2].6.pow(2,2))/([2].6.pow(2,2))))   -0.00263589  0.00786631    0.197747
    2      0      3      6  [0]+[1].(x-[2].6.pow(3,2).log(fabs((x+[2].6.pow(3,2))/([2].6.pow(3,2))))   -0.00263589  0.00786631    0.197747
    2      0      3      7  [0]+[1].(x-[2].7.pow(3,2).log(fabs((x+[2].7.pow(3,2))/([2].7.pow(3,2))))   -0.00263589  0.00786631    0.197747
    2      0      3      8  [0]+[1].(x-[2].8.pow(3,2).log(fabs((x+[2].8.pow(3,2))/([2].8.pow(3,2))))   -0.00263589  0.00786631    0.197747
    2      0      4      7  [0]+[1].(x-[2].7.pow(4,2).log(fabs((x+[2].7.pow(4,2))/([2].7.pow(4,2))))   -0.00263589  0.00786631    0.197747
    2      0      4      9  [0]+[1].(x-[2].9.pow(4,2).log(fabs((x+[2].9.pow(4,2))/([2].9.pow(4,2))))   -0.00263589  0.00786631    0.197747
    2      1      1      1                    [0].(pow(x,2)+[1].1.x)/(x+[2].1)                           0.00468846     173.765     125.848
    2      1      1      2                    [0].(pow(x,2)+[1].2.x)/(x+[2].2)                           0.00468846     173.765     125.848
    2      1      1      3                    [0].(pow(x,2)+[1].3.x)/(x+[2].3)                           0.00468846     173.765     125.848
    2      1      2      3  [0]+[1].(x-[2].3.pow(2,2).log(fabs((x+[2].3.pow(2,2))/([2].3.pow(2,2))))    -0.0035373  0.00718222    0.174011
    2      1      2      4  [0]+[1].(x-[2].4.pow(2,2).log(fabs((x+[2].4.pow(2,2))/([2].4.pow(2,2))))    -0.0035373  0.00718222    0.174011
    2      1      2      6  [0]+[1].(x-[2].6.pow(2,2).log(fabs((x+[2].6.pow(2,2))/([2].6.pow(2,2))))    -0.0035373  0.00718222    0.174011
    2      1      3      6  [0]+[1].(x-[2].6.pow(3,2).log(fabs((x+[2].6.pow(3,2))/([2].6.pow(3,2))))    -0.0035373  0.00718222    0.174011
    2      1      3      7  [0]+[1].(x-[2].7.pow(3,2).log(fabs((x+[2].7.pow(3,2))/([2].7.pow(3,2))))    -0.0035373  0.00718222    0.174011
    2      1      3      8  [0]+[1].(x-[2].8.pow(3,2).log(fabs((x+[2].8.pow(3,2))/([2].8.pow(3,2))))    -0.0035373  0.00718222    0.174011
    2      1      4      7  [0]+[1].(x-[2].7.pow(4,2).log(fabs((x+[2].7.pow(4,2))/([2].7.pow(4,2))))    -0.0035373  0.00718222    0.174011
    2      1      4      9  [0]+[1].(x-[2].9.pow(4,2).log(fabs((x+[2].9.pow(4,2))/([2].9.pow(4,2))))    -0.0035373  0.00718222    0.174011
    2      2      1      1                    [0].(pow(x,2)+[1].1.x)/(x+[2].1)                           0.00602144     54.4923     46.4333
    2      2      1      2                    [0].(pow(x,2)+[1].2.x)/(x+[2].2)                           0.00602144     54.4923     46.4333
    2      2      1      3                    [0].(pow(x,2)+[1].3.x)/(x+[2].3)                           0.00602144     54.4923     46.4333
