 *tel    csi      Z      A   CsIE(MeV)   CsIV-VCal        CsIV       VCal
    0      2      2      3     243.824  -0.0554345     1.81906     1.87449
    0      2      2      3     256.198  -0.0569535     1.91678     1.97373
    0      2      2      3      269.59  -0.0588273     2.02236     2.08119
    0      2      2      4     9.56833  0.00260432   0.0348195   0.0322152
    0      2      2      4     24.9267  0.00865138     0.14461    0.135959
    0      2      2      4     39.0812  0.00671548     0.24664    0.239925
    0      2      2      4     54.9768  0.00209062     0.36239    0.360299
    0      2      2      4     69.7308  -0.0019063    0.471957    0.473863
    0      2      2      4     84.3828  -0.0067478    0.580976    0.587724
    0      2      2      4     99.9343  -0.0120901    0.697291    0.709381
    0      2      2      4     114.469  -0.0174809     0.80615    0.823631
    0      2      2      4      129.95   -0.022601    0.923158    0.945759
    0      2      2      4     144.462  -0.0265873     1.03398     1.06057
    0      2      2      4     159.959  -0.0292872     1.15416     1.18345
    0      2      2      4     174.522   -0.029348     1.26979     1.29914
    0      2      2      4     189.132  -0.0273291     1.38805     1.41538
    0      2      2      4     204.779  -0.0225781     1.51746     1.54004
    0      2      2      4     219.523  -0.0168691     1.64077     1.65764
    0      2      2      4     234.347   -0.010554     1.76544     1.77599
    0      2      2      4     249.262  -0.00462844     1.89055     1.89518
    0      2      2      4     264.276  0.00141374     2.01666     2.01525
    0      2      2      4     279.398  0.00774883     2.14401     2.13626
    0      2      2      4     294.635   0.0128878     2.27116     2.25827
    0      2      2      4     309.994   0.0167205     2.39805     2.38133
    0      2      2      6      8.6564   0.0116276    0.032262   0.0206344
    0      2      2      6     21.5251   0.0200932    0.118669   0.0985758
    0      2      2      6     34.9596     0.01771    0.208919    0.191209
    0      2      2      6     47.3733   0.0120242    0.293105    0.281081
    0      2      2      6     60.5186  0.00509824    0.383816    0.378718
    0      2      2      6     73.3695  -0.000112005    0.475626    0.475738
    0      2      2      6     86.8941  -0.00663421    0.572364    0.578998
    0      2      2      6     99.4262  -0.0127603    0.662695    0.675455
    0      2      2      6     112.662   -0.017594    0.760352    0.777946
    0      2      2      6     125.785   -0.022757    0.857301    0.880058
    0      2      2      6     138.813  -0.0262587    0.955566    0.981825
    0      2      2      6     151.765  -0.0292491     1.05407     1.08332
    0      2      2      6     164.655   -0.030435     1.15416      1.1846
    0      2      2      6     177.495  -0.0286644     1.25704      1.2857
    0      2      2      6     190.297  -0.0251387     1.36157     1.38671
    0      2      2      6     203.867  -0.0189866     1.47497     1.49396
    0      2      2      6      216.62  -0.0113894     1.58351      1.5949
    0      2      2      6     229.363  -0.00157324     1.69432     1.69589
    0      2      2      6       242.9  0.00877299     1.81208     1.80331
    0      2      2      6     255.644   0.0193041     1.92384     1.90454
    0      2      2      6     268.397   0.0307496     2.03668     2.00593
    0      3      2      3     10.6344  -0.00455503   0.0321746   0.0367296
    0      3      2      3     21.9934  0.00382616    0.120166     0.11634
    0      3      2      3     32.6356  0.00473783    0.199993    0.195255
    0      3      2      3     43.9313  0.00364725    0.284678    0.281031
    0      3      2      3     54.6023   0.0022648    0.365417    0.363152
    0      3      2      3     65.9959  -0.0016623    0.449923    0.451585
    0      3      2      3     76.7773  -0.00566101    0.530106    0.535767
    0      3      2      3     87.6193  -0.0103631    0.610421    0.620784
    0      3      2      3     98.5256  -0.0160374    0.690551    0.706588
    0      3      2      3       109.5  -0.0224859     0.77067    0.793156
    0      3      2      3     120.548  -0.0294304    0.851061    0.880491
    0      3      2      3     131.673  -0.0368847    0.931708    0.968593
    0      3      2      3      142.88  -0.0446275     1.01285     1.05748
    0      3      2      3     153.465  -0.0513046     1.09023     1.14153
    0      3      2      3     164.846  -0.0586315     1.17338     1.23201
    0      3      2      3     175.602  -0.0653618     1.25224      1.3176
    0      3      2      3     186.446  -0.0697335     1.33423     1.40396
    0      3      2      3     197.382   -0.075052     1.41607     1.49112
    0      3      2      3     208.414   -0.080254     1.49885      1.5791
    0      3      2      3     219.546  -0.0851468     1.58279     1.66794
    0      3      2      3     230.781  -0.0900706     1.66757     1.75764
    0      3      2      4     10.8014  0.00320995   0.0359557   0.0327458
    0      3      2      4     23.8254   0.0120449    0.133025     0.12098
    0      3      2      4     36.7401   0.0112997    0.226481    0.215181
    0      3      2      4     49.5407  0.00820277     0.31955    0.311347
    0      3      2      4     62.2802   0.0054417    0.414041    0.408599
    0      3      2      4     75.8425  0.000936376    0.514147    0.513211
    0      3      2      4     88.5494  -0.00397871    0.607944    0.611923
    0      3      2      4     101.262  -0.00912526     0.70205    0.711175
    0      3      2      4     114.841   -0.015732     0.80188    0.817612
    0      3      2      4     127.598  -0.0220866    0.895831    0.917918
    0      3      2      4     140.391  -0.0270039    0.991748     1.01875
    0      3      2      4     153.227  -0.0324501     1.08768     1.12013
    0      3      2      4     166.978  -0.0371962     1.19173     1.22893
    0      3      2      4     179.932  -0.0395603     1.29201     1.33157
